Gene1	Gene2	Better Similarity With Homology	Similarity With Homology	LCS With Homology	Annotation Pair leading to best match	Common subsumer set	Similarity Without Homology	LCS Without Homology	Annotation Pair leading to best match	Common subsumer set	
MGI:98812	NCBI_gene:7172	1	1.52	WithHomologyUBERON_0002390	MP_0002429--HP_0001871	WithoutHomologyUBERON_0000480,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0002390,WithHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0000465	0.53	WithoutHomologyUBERON_0004120	MP_0002429--HP_0001871	WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001062
MGI:98742	NCBI_gene:7067	1	4.13	WithHomologyGO_0030421	MP_0003866--HP_0002019	WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyGO_0008150,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyGO_0007588,WithHomologyGO_0044707,WithoutHomologyGO_0044699,WithHomologyGO_0008150,WithHomologyGO_0007588,WithHomologyGO_0044699,WithoutHomologyGO_0044707,WithoutHomologyGO_0032501,WithHomologyGO_0003008,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0001007,WithHomologyUBERON_0001062,WithHomologyGO_0032501,WithoutHomologyUBERON_0000480,WithHomologyGO_0030421,WithoutHomologyUBERON_0001007,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0003008	3.7	WithoutHomologyGO_0007588	MP_0003866--HP_0002019	WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyGO_0044699,WithoutHomologyGO_0044707,WithoutHomologyUBERON_0001007,WithoutHomologyGO_0007588,WithoutHomologyGO_0032501,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0003008
MGI:98724	NCBI_gene:7039	1	2.16	WithHomologyUBERON_0000161	MP_0003671--HP_0000164	WithoutHomologyUBERON_0000033,WithHomologyBFO_0000040,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0001444,WithHomologyUBERON_0011676,WithoutHomologyUBERON_0010314,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0000033,WithHomologyUBERON_0010314,WithHomologyUBERON_0004111,WithHomologyUBERON_0000161,WithHomologyUBERON_0001444,WithoutHomologyUBERON_0000064,WithHomologyUBERON_0000064,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000062,WithHomologyUBERON_0001062,WithHomologyUBERON_0000061,WithHomologyUBERON_0000475,WithHomologyUBERON_0000477,WithHomologyUBERON_0004121,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061	2.01	WithoutHomologyUBERON_0003102	MP_0009742--HP_0000164	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0003102,WithoutHomologyUBERON_0004121,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000064
MGI:98506	NCBI_gene:6925	1	3.13	WithHomologyUBERON_0010742	MP_0004509--HP_0001786	WithHomologyBFO_0000040,WithoutHomologyUBERON_0000475,WithHomologyUBERON_0010742,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0002091,WithHomologyUBERON_0010912,WithoutHomologyUBERON_0010912,WithHomologyUBERON_0010000,WithHomologyUBERON_0002534,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0002101,WithoutHomologyUBERON_0000026,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010740,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0002101,WithoutHomologyUBERON_0001474,WithHomologyUBERON_0004708,WithoutHomologyUBERON_0001434,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithHomologyUBERON_0008897,WithoutHomologyUBERON_0000477,WithHomologyUBERON_0001062,WithHomologyUBERON_0000061,WithHomologyUBERON_0011216,WithoutHomologyUBERON_0000480,WithHomologyUBERON_0000475,WithHomologyUBERON_0000477,WithHomologyUBERON_0001474,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0004765,WithHomologyUBERON_0010740,WithHomologyUBERON_0004120,WithHomologyUBERON_0000026,WithoutHomologyUBERON_0011216,WithoutHomologyUBERON_0004765,WithoutHomologyUBERON_0000465,WithHomologyUBERON_0001434,WithoutHomologyUBERON_0002091,WithoutHomologyUBERON_0004708	2.32	WithoutHomologyUBERON_0001690	MP_0004738--HP_0000377	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0001032,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0001690,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0002105,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000062,WithoutHomologyBFO_0000040
MGI:97883	NCBI_gene:5957	1	1.59	WithHomologyUBERON_0010230	MP_0005253--HP_0000478	WithoutHomologyUBERON_0000033,WithHomologyBFO_0000040,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0004121,WithHomologyUBERON_0011676,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithoutHomologyBFO_0000040,WithHomologyUBERON_0004121,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0000033,WithHomologyUBERON_0010230,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000062,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000475,WithHomologyUBERON_0000061,WithHomologyUBERON_0000475,WithHomologyUBERON_0000020,WithoutHomologyUBERON_0000465	1.37	WithoutHomologyUBERON_0000020	MP_0005253--HP_0000478	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0011676,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061
MGI:97608	NCBI_gene:5054	1	2.95	WithHomologyGO_0008015	MP_0002128--HP_0000132	WithHomologyBFO_0000040,WithoutHomologyUBERON_0004535,WithHomologyGO_0003013,WithoutHomologyUBERON_0001062,WithHomologyUBERON_0004535,WithoutHomologyUBERON_0000467,WithoutHomologyGO_0008150,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyBFO_0000040,WithHomologyGO_0044707,WithoutHomologyGO_0044699,WithHomologyGO_0008150,WithHomologyGO_0044699,WithoutHomologyGO_0044707,WithoutHomologyGO_0032501,WithHomologyGO_0003008,WithoutHomologyGO_0003013,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyGO_0008015,WithHomologyUBERON_0001062,WithHomologyGO_0032501,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0003008	2.51	WithoutHomologyGO_0003013	MP_0002128--HP_0000132	WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyGO_0044707,WithoutHomologyUBERON_0004535,WithoutHomologyGO_0032501,WithoutHomologyUBERON_0000061,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0001062,WithoutHomologyGO_0044699,WithoutHomologyGO_0003013,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000465,WithoutHomologyGO_0003008
MGI:97479	NCBI_gene:5069	1	0.72	WithHomologyGO_0008152	MP_0004883--HP_0001939	WithoutHomologyGO_0008150,WithHomologyGO_0008152,WithHomologyGO_0008150	0.23	WithoutHomologyGO_0008150	MP_0004883--HP_0001939	WithoutHomologyGO_0008150
MGI:97137	NCBI_gene:4353	1	1.52	WithHomologyUBERON_0002390	MP_0000220--HP_0001871	WithoutHomologyUBERON_0000480,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithHomologyUBERON_0000061,WithHomologyUBERON_0002390,WithHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0000465	1.28	WithoutHomologyUBERON_0002405	MP_0005044--HP_0002715	WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0002405,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0001062
MGI:96916	NCBI_gene:4129	1	0.72	WithHomologyGO_0008152	MP_0009643--HP_0001939	WithoutHomologyGO_0008150,WithHomologyGO_0008152,WithHomologyGO_0008150	0.23	WithoutHomologyGO_0008150	MP_0009643--HP_0001939	WithoutHomologyGO_0008150
MGI:96721	NCBI_gene:3897	1	5.84	WithHomologyUBERON_0002289	MP_0005537--HP_0002410	WithHomologyBFO_0000040,WithoutHomologyUBERON_0001891,WithoutHomologyUBERON_0000073,WithHomologyUBERON_0000073,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004086,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithHomologyUBERON_0001016,WithoutHomologyUBERON_0002298,WithHomologyUBERON_0010000,WithHomologyUBERON_0000955,WithHomologyUBERON_0002289,WithoutHomologyUBERON_0010314,WithHomologyUBERON_0000467,WithoutHomologyUBERON_0002616,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000481,WithoutHomologyBFO_0000040,WithHomologyUBERON_0001891,WithoutHomologyUBERON_0010000,WithHomologyUBERON_0010314,WithHomologyUBERON_0004086,WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0000064,WithHomologyUBERON_0000064,WithHomologyUBERON_0003947,WithHomologyUBERON_0000062,WithHomologyUBERON_0002616,WithoutHomologyUBERON_0000062,WithHomologyUBERON_0001062,WithoutHomologyUBERON_0003947,WithoutHomologyUBERON_0000955,WithHomologyUBERON_0000061,WithHomologyUBERON_0005358,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0005358,WithHomologyUBERON_0002298,WithHomologyUBERON_0004121,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000061	4.98	WithoutHomologyUBERON_0004720	MP_0000866--HP_0007068	WithoutHomologyUBERON_0001895,WithoutHomologyUBERON_0000073,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0002680,WithoutHomologyUBERON_0003528,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0002749,WithoutHomologyUBERON_0005162,WithoutHomologyUBERON_0002616,WithoutHomologyUBERON_0002028,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0002020,WithoutHomologyUBERON_0004733,WithoutHomologyUBERON_0004732,WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000063,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0019263,WithoutHomologyUBERON_0002946,WithoutHomologyUBERON_0002129,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000955,WithoutHomologyUBERON_0002037,WithoutHomologyUBERON_0011215,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0004720
