Gene1	Gene2	Better Similarity With Homology	Similarity With Homology	LCS With Homology	Annotation Pair leading to best match	Common subsumer set	Similarity Without Homology	LCS Without Homology	Annotation Pair leading to best match	Common subsumer set	
ZFIN:ZDB-GENE-040912-168	NCBI_gene:2110	-1	3.34	WithHomologyUBERON_0000058	ZP_0003336--HP_0001396	WithHomologyUBERON_0004111,WithHomologyUBERON_0010000,WithHomologyUBERON_0000477,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000025,WithHomologyUBERON_0000058,WithHomologyUBERON_0001062,WithHomologyUBERON_0000061,WithHomologyUBERON_0000467	3.78	WithoutHomologyGO_0019752	ZP_0006968--HP_0002909	WithoutHomologyGO_0043436,WithoutHomologyGO_0071704,WithoutHomologyGO_0044237,WithoutHomologyGO_0008150,WithoutHomologyGO_0044281,WithoutHomologyGO_0019752,WithoutHomologyGO_0006082,WithoutHomologyGO_0044238,WithoutHomologyGO_0044763,WithoutHomologyGO_0044710,WithoutHomologyGO_0008152,WithoutHomologyGO_0044699,WithoutHomologyGO_0009987
ZFIN:ZDB-GENE-060503-416	NCBI_gene:246213	0	2.32	WithHomologyUBERON_0001690	ZP_0008175--HP_0000365	WithHomologyUBERON_0000475,WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000062,WithHomologyUBERON_0000020,WithHomologyUBERON_0001690,WithHomologyUBERON_0000061,WithHomologyUBERON_0000467,WithHomologyUBERON_0000033,WithHomologyUBERON_0001062,WithHomologyUBERON_0001032,WithHomologyUBERON_0010314,WithHomologyUBERON_0010000,WithHomologyUBERON_0011676	2.32	WithoutHomologyUBERON_0002105	ZP_0008175--HP_0000365	WithoutHomologyUBERON_0000033,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0001032,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0002105,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0001690,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000061
ZFIN:ZDB-GENE-040426-1083	NCBI_gene:129880	0	3.28	WithHomologyUBERON_0001781	ZP_0006389--HP_0007703	WithHomologyUBERON_0000019,WithHomologyBFO_0000040,WithHomologyUBERON_0000055,WithHomologyUBERON_0004535,WithHomologyUBERON_0001032,WithHomologyUBERON_0000970,WithHomologyUBERON_0011676,WithHomologyUBERON_0000467,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0004121,WithHomologyUBERON_0000033,WithHomologyUBERON_0015212,WithHomologyUBERON_0010314,WithHomologyUBERON_0004111,WithHomologyUBERON_0010230,WithHomologyUBERON_0000047,WithHomologyUBERON_0000064,WithHomologyUBERON_0000062,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithHomologyUBERON_0010000,WithHomologyUBERON_0000475,WithHomologyUBERON_0000477,WithHomologyUBERON_0001981,WithHomologyUBERON_0000020,WithHomologyUBERON_0004120,WithHomologyUBERON_0001781,WithHomologyUBERON_0004923	3.28	WithoutHomologyUBERON_0001781	ZP_0006389--HP_0007703	WithoutHomologyUBERON_0000055,WithoutHomologyUBERON_0004535,WithoutHomologyUBERON_0000033,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0011676,WithoutHomologyUBERON_0000019,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0003951,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0010230,WithoutHomologyUBERON_0001032,WithoutHomologyUBERON_0002104,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0004923,WithoutHomologyUBERON_0004111,WithoutHomologyUBERON_0000020,WithoutHomologyUBERON_0001981,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000047,WithoutHomologyUBERON_0000063,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000475,WithoutHomologyUBERON_0000479,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0015212,WithoutHomologyUBERON_0001781,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0001802,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000970
ZFIN:ZDB-GENE-040426-1474	NCBI_gene:5119	0	3.22	WithHomologyUBERON_0002037	ZP_0003328--HP_0007360	WithHomologyBFO_0000040,WithHomologyUBERON_0002616,WithHomologyUBERON_0000073,WithHomologyUBERON_0001016,WithHomologyUBERON_0000955,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0001895,WithHomologyUBERON_0002028,WithHomologyUBERON_0004732,WithHomologyUBERON_0004733,WithHomologyUBERON_0010314,WithHomologyUBERON_0000064,WithHomologyUBERON_0000062,WithHomologyUBERON_0000063,WithHomologyUBERON_0000061,WithHomologyUBERON_0001062,WithHomologyUBERON_0000467,WithHomologyUBERON_0000477,WithHomologyUBERON_0002680,WithHomologyUBERON_0004121,WithHomologyUBERON_0000481,WithHomologyUBERON_0002037	3.22	WithoutHomologyUBERON_0002037	ZP_0003328--HP_0007360	WithoutHomologyUBERON_0001895,WithoutHomologyUBERON_0000073,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0002680,WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0002616,WithoutHomologyUBERON_0002028,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0004733,WithoutHomologyUBERON_0004732,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000063,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000477,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000955,WithoutHomologyUBERON_0002037,WithoutHomologyUBERON_0000465
ZFIN:ZDB-GENE-990415-205	NCBI_gene:30813	1	3.44	WithHomologyUBERON_0012275	ZP_0004400--HP_0011491	WithHomologyUBERON_0000119,WithHomologyUBERON_0012275,WithHomologyUBERON_0010000,WithHomologyUBERON_0000465,WithHomologyUBERON_0000479,WithHomologyUBERON_0000483,WithHomologyUBERON_0000061,WithHomologyUBERON_0004120,WithHomologyUBERON_0001062	2.67	WithoutHomologyUBERON_0012275	ZP_0004400--HP_0011491	WithoutHomologyUBERON_0000483,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0012275,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000479,WithoutHomologyUBERON_0000119
ZFIN:ZDB-GENE-990415-200	NCBI_gene:5080	-1	2.6	WithHomologyUBERON_0004732	ZP_0001026--HP_0001251	WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000064,WithHomologyUBERON_0000062,WithHomologyUBERON_0000063,WithHomologyUBERON_0000061,WithHomologyUBERON_0004121,WithHomologyUBERON_0004732,WithHomologyUBERON_0001062,WithHomologyUBERON_0001016,WithHomologyUBERON_0000955,WithHomologyUBERON_0010000,WithHomologyUBERON_0000467	2.81	WithoutHomologyUBERON_0004733	ZP_0001026--HP_0001251	WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyGO_0008150,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000064,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000063,WithoutHomologyGO_0044699,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000955,WithoutHomologyUBERON_0004733,WithoutHomologyUBERON_0004732
ZFIN:ZDB-GENE-001205-1	NCBI_gene:1436	-1	2.18	WithHomologyCL_0002319	ZP_0001182--HP_0002529	WithHomologyGO_0005623,WithHomologyCL_0002319,WithHomologyCL_0000404,WithHomologyCL_0000540,WithHomologyUBERON_0000480,WithHomologyCL_0000255,WithHomologyGO_0005575,WithHomologyCL_0000000,WithHomologyUBERON_0000477,WithHomologyCL_0000003,WithHomologyCL_0000548,WithHomologyCL_0000393,WithHomologyUBERON_0000467,WithHomologyCL_0000211,WithHomologyUBERON_0001062,WithHomologyUBERON_0000465,WithHomologyUBERON_0000061,WithHomologyCL_0002371,WithHomologyUBERON_0004121,WithHomologyBFO_0000040	3.78	WithoutHomologyCL_0000243	ZP_0001178--HP_0002171	WithoutHomologyCL_0000243,WithoutHomologyCL_0000255,WithoutHomologyGO_0005623,WithoutHomologyCL_0000125,WithoutHomologyCL_0000000,WithoutHomologyCL_0000003,WithoutHomologyUBERON_0001016,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0000465,WithoutHomologyCL_0000095,WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyCL_0002371,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyCL_0002319,WithoutHomologyUBERON_0001062,WithoutHomologyCL_0000548,WithoutHomologyGO_0005575,WithoutHomologyUBERON_0010313
ZFIN:ZDB-GENE-000626-1	NCBI_gene:7139	0	3.75	WithHomologyUBERON_0002081	ZP_0000724--HP_0005110	WithHomologyUBERON_0002081,WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000062,WithHomologyUBERON_0000064,WithHomologyUBERON_0004151,WithHomologyUBERON_0007100,WithHomologyUBERON_0000061,WithHomologyUBERON_0000948,WithHomologyUBERON_0003103,WithHomologyUBERON_0005177,WithHomologyUBERON_0004535,WithHomologyUBERON_0015228,WithHomologyUBERON_0001062,WithHomologyUBERON_0000467,WithHomologyUBERON_0010314,WithHomologyUBERON_0004120,WithHomologyUBERON_0010000,WithHomologyUBERON_0005181	3.75	WithoutHomologyUBERON_0002081	ZP_0000724--HP_0005110	WithoutHomologyUBERON_0003103,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0015228,WithoutHomologyUBERON_0004535,WithoutHomologyUBERON_0005177,WithoutHomologyUBERON_0004151,WithoutHomologyUBERON_0000948,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0005181,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0007100,WithoutHomologyUBERON_0002081,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0000064,WithoutHomologyUBERON_0004120,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0000062,WithoutHomologyUBERON_0000061
ZFIN:ZDB-GENE-990603-8	NCBI_gene:4089	-1	0	None			1.3	WithoutHomologyUBERON_0000481	ZP_0008412--HP_0007364	WithoutHomologyUBERON_0000061,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000465
ZFIN:ZDB-GENE-030131-1723	NCBI_gene:60684	0	2.14	WithHomologyUBERON_0001893	ZP_0000054--HP_0007364	WithHomologyUBERON_0002780,WithHomologyBFO_0000040,WithHomologyUBERON_0000465,WithHomologyUBERON_0000480,WithHomologyUBERON_0000481,WithHomologyUBERON_0001890,WithHomologyUBERON_0000062,WithHomologyUBERON_0002616,WithHomologyUBERON_0000073,WithHomologyUBERON_0000061,WithHomologyUBERON_0000467,WithHomologyUBERON_0004121,WithHomologyUBERON_0001062,WithHomologyUBERON_0010314,WithHomologyUBERON_0001016,WithHomologyUBERON_0001893,WithHomologyUBERON_0010000,WithHomologyUBERON_0000955	2.14	WithoutHomologyUBERON_0001893	ZP_0000054--HP_0007364	WithoutHomologyUBERON_0001016,WithoutHomologyUBERON_0000481,WithoutHomologyUBERON_0000480,WithoutHomologyUBERON_0000955,WithoutHomologyUBERON_0002616,WithoutHomologyUBERON_0002780,WithoutHomologyUBERON_0001890,WithoutHomologyUBERON_0000061,WithoutHomologyBFO_0000040,WithoutHomologyUBERON_0010314,WithoutHomologyUBERON_0010000,WithoutHomologyUBERON_0000073,WithoutHomologyUBERON_0000465,WithoutHomologyUBERON_0000467,WithoutHomologyUBERON_0004121,WithoutHomologyUBERON_0001062,WithoutHomologyUBERON_0001893,WithoutHomologyUBERON_0000062
