Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:1353466	NCBI_gene:9313	0.34	0.34	0.59842519685	0.515151515152	0.42	0.42	0.810218978102	0.791666666667
MGI:1333772	NCBI_gene:10117	0.34	0.34	0.610526315789	0.53488372093	0.34	0.34	0.877254474155	0.852372408293
MGI:1918882	NCBI_gene:55800	0.33	0.33	1.0	1.0	0.33	0.33	1.0	1.0
MGI:2181182	NCBI_gene:9631	0.32	0.32	0.75	0.733333333333	0.3275	0.3275	0.908290219266	0.890202702703
MGI:95402	NCBI_gene:2038	0.29	0.29	0.626262626263	0.571428571429	0.29	0.29	0.984375	0.98
MGI:1913363	NCBI_gene:116519	0.28	0.28	0.726315789474	0.685714285714	0.3	0.3	0.823529411765	0.797297297297
MGI:1353569	NCBI_gene:2301	0.28	0.28	0.591304347826	0.585365853659	0.325	0.325	0.958333333333	0.96511627907
MGI:101770	NCBI_gene:631	0.28	0.28	0.889230769231	0.905982905983	0.3	0.3	0.943717948718	0.952279202279
MGI:1861746	NCBI_gene:64327	0.26	0.23	0.507352941176	0.478260869565	0.31	0.31	0.835164835165	0.857142857143
MGI:1932535	NCBI_gene:84662	0.24	0.24	0.307692307692	0.444444444444	0.25	0.25	0.907843137255	0.884545454545
MGI:95688	NCBI_gene:8200	0.23	0.23	0.394230769231	0.377358490566	0.36	0.36	0.934911242604	0.916666666667
MGI:88005	NCBI_gene:265	0.23	0.23	0.453125	0.370967741935	0.285	0.285	0.791860465116	0.765084745763
MGI:2444662	NCBI_gene:283417	0.225	0.225	0.292682926829	0.275862068966	0.35	0.35	0.87119047619	0.85005574136
MGI:88522	NCBI_gene:1419	0.22	0.22	0.849230769231	0.848290598291	0.27	0.27	0.933333333333	0.932692307692
MGI:1351617	NCBI_gene:21	0.22	0.22	0.245901639344	0.246153846154	0.235	0.235	0.798757928118	0.779727095517
MGI:1298216	NCBI_gene:1427	0.22	0.22	0.849230769231	0.848290598291	0.27	0.27	0.933333333333	0.932692307692
MGI:96699	NCBI_gene:3849	0.21	0.21	0.367924528302	0.351608187135	0.21	0.21	0.744039783531	0.704166666667
MGI:96782	NCBI_gene:3972	0.2	0.2	0.363636363636	0.333333333333	0.23	0.23	0.723015873016	0.694444444444
