Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-080808-7	NCBI_gene:783	0.19	0.19	0.408036871669	0.396572104019	0.26	0.26	0.591928769658	0.536111111111
ZFIN:ZDB-GENE-990714-19	NCBI_gene:55714	0.16	0.16	0.595744680851	0.547169811321	0.16	0.16	0.710915558884	0.6625
ZFIN:ZDB-GENE-061026-3	NCBI_gene:60506	0.16	0.16	0.603773584906	0.511627906977	0.16	0.16	0.646331236897	0.555813953488
ZFIN:ZDB-GENE-050522-308	NCBI_gene:4990	0.16	0.16	0.4396882494	0.415882352941	0.22	0.2125	0.773797150825	0.738881858447
ZFIN:ZDB-GENE-041014-299	NCBI_gene:222546	0.16	0.16	0.277777777778	0.296296296296	0.1775	0.1775	0.354112230932	0.393768905021
ZFIN:ZDB-GENE-040426-1664	NCBI_gene:5146	0.16	0.16	0.392405063291	0.372881355932	0.205	0.205	0.739135864136	0.699300699301
ZFIN:ZDB-GENE-040426-1282	NCBI_gene:4990	0.16	0.16	0.638131313131	0.583333333333	0.195	0.195	0.771120451086	0.733974358974
ZFIN:ZDB-GENE-021120-2	NCBI_gene:2916	0.16	0.16	0.533068783069	0.479218208808	0.16	0.16	0.617627533194	0.543971848225
ZFIN:ZDB-GENE-001222-1	NCBI_gene:338917	0.16	0.16	0.492063492063	0.461538461538	0.205	0.205	0.698412698413	0.657912234043
ZFIN:ZDB-GENE-080723-7	NCBI_gene:4869	0.15	0.15	0.489795918367	0.444444444444	0.18	0.18	0.646683673469	0.603174603175
ZFIN:ZDB-GENE-040801-128	NCBI_gene:84930	0.15	0.15	0.25	0.213525835866	0.22	0.22	0.466260497416	0.425240532556
