Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:1341292	ZFIN:ZDB-GENE-060503-794	0.46	0.46	0.903846153846	0.857142857143	0.46	0.46	0.941506410256	0.912442396313
MGI:96990	ZFIN:ZDB-GENE-050706-86	0.32	0.32	0.862068965517	0.8125	0.32	0.32	0.974025974026	0.962962962963
MGI:1316745	ZFIN:ZDB-GENE-030131-6115	0.295	0.295	0.265700768776	0.28801843318	0.5	0.5	0.574092574093	0.522804054054
MGI:99262	ZFIN:ZDB-GENE-051113-276	0.29	0.29	0.4375	0.358208955224	0.32	0.32	0.767159277504	0.723958333333
MGI:891976	ZFIN:ZDB-GENE-070803-3	0.23	0.23	0.320895522388	0.333333333333	0.37	0.37	0.614993215739	0.604166666667
MGI:2676627	ZFIN:ZDB-GENE-011221-1	0.23	0.23	0.244990492906	0.236146632566	0.33	0.33	0.496369096369	0.490939153439
MGI:2447763	ZFIN:ZDB-GENE-030828-4	0.23	0.23	0.272727272727	0.266666666667	0.34	0.34	0.774372780387	0.724789915966
MGI:97848	ZFIN:ZDB-GENE-990415-234	0.22	0.22	0.392460684551	0.337837837838	0.315	0.315	0.820503886358	0.803747528016
MGI:96892	ZFIN:ZDB-GENE-040912-7	0.21	0.21	0.339393939394	0.3	0.3	0.3	0.630735930736	0.601612903226
MGI:1339755	ZFIN:ZDB-GENE-080104-4	0.21	0.21	0.525364170713	0.452368951613	0.3375	0.3375	0.794589860367	0.741860465116
MGI:105059	ZFIN:ZDB-GENE-030131-7098	0.21	0.21	0.366459627329	0.323529411765	0.3	0.3	0.669531183528	0.644523326572
MGI:2653629	ZFIN:ZDB-GENE-041116-2	0.2	0.2	0.535714285714	0.515151515152	0.22	0.22	0.643571428571	0.643571428571
MGI:1914280	ZFIN:ZDB-GENE-040426-1045	0.2	0.2	0.24	0.210526315789	0.355	0.355	0.560153666602	0.538774233896
MGI:1197013	ZFIN:ZDB-GENE-090313-21	0.2	0.2	0.375	0.326923076923	0.25	0.25	0.647401960784	0.619835590766
MGI:97350	ZFIN:ZDB-GENE-980526-321	0.19	0.19	0.371942197672	0.350877192982	0.285	0.285	0.787141779789	0.783783783784
MGI:97275	ZFIN:ZDB-GENE-980526-561	0.19	0.19	0.348331648129	0.302976190476	0.205	0.205	0.663096643616	0.663577421815
MGI:88461	ZFIN:ZDB-GENE-070501-8	0.19	0.19	0.434782608696	0.423076923077	0.26	0.26	0.717391304348	0.711538461538
MGI:1330824	ZFIN:ZDB-GENE-041010-119	0.19	0.19	0.424270833333	0.415650406504	0.2125	0.2125	0.667840593142	0.6676716141
MGI:102844	ZFIN:ZDB-GENE-070112-2362	0.19	0.19	0.446639784946	0.417045454545	0.19	0.19	0.752462121212	0.721837944664
MGI:97493	ZFIN:ZDB-GENE-980526-399	0.17	0.155	0.288048944016	0.276388888889	0.31	0.31	0.561581618686	0.584008097166
MGI:96629	ZFIN:ZDB-GENE-980526-481	0.17	0.17	0.485436893204	0.414634146341	0.24	0.24	0.767180768481	0.73815560707
MGI:2443298	ZFIN:ZDB-GENE-090312-98	0.17	0.17	0.342860598242	0.300768882858	0.3075	0.3075	0.74762386799	0.72729740111
MGI:1276578	ZFIN:ZDB-GENE-091118-129	0.17	0.17	0.436363636364	0.36170212766	0.21	0.21	0.717693236715	0.679910044978
MGI:97930	ZFIN:ZDB-GENE-040426-1662	0.16	0.16	0.305604118104	0.311538461538	0.16	0.16	0.649978605049	0.594807238395
