Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-140130-12	NCBI_gene:4909	0.16	0.16	0.657894736842	0.62962962963	0.16	0.16	0.700187969925	0.667407407407
ZFIN:ZDB-GENE-070117-64	NCBI_gene:3035	0.14	0.14	0.3	0.272727272727	0.155	0.155	0.567805383023	0.53612012987
ZFIN:ZDB-GENE-070117-463	NCBI_gene:85301	0.14	0.14	0.253086419753	0.243853630646	0.1575	0.15	0.483944235589	0.433333333333
ZFIN:ZDB-GENE-070117-1673	NCBI_gene:717	0.14	0.14	0.182608695652	0.145833333333	0.145	0.145	0.198447204969	0.160416666667
ZFIN:ZDB-GENE-070117-671	NCBI_gene:100151683	0.13	0.08	0.227848101266	0.216216216216	0.18	0.155	0.563924050633	0.548108108108
ZFIN:ZDB-GENE-070117-508	NCBI_gene:8425	0.13	0.13	0.239436619718	0.25	0.145	0.145	0.458646616541	0.409523809524
ZFIN:ZDB-GENE-070117-463	NCBI_gene:407975	0.13	0.08	0.224489795918	0.227272727273	0.18	0.1525	0.452153110048	0.395698924731
ZFIN:ZDB-GENE-070117-671	NCBI_gene:284058	0.12	0.08	0.25641025641	0.24	0.175	0.155	0.578205128205	0.56
ZFIN:ZDB-GENE-070912-300	NCBI_gene:137814	0.09	0.08	0.226159958985	0.220867208672	0.165	0.16	0.302147648374	0.284853018835
ZFIN:ZDB-GENE-070117-910	NCBI_gene:10528	0.09	0.08	0.272727272727	0.260869565217	0.14	0.14	0.534719660715	0.516616573342
ZFIN:ZDB-GENE-070117-869	NCBI_gene:84839	0.09	0.08	0.285714285714	0.266666666667	0.09	0.08	0.394897594665	0.36858974359
ZFIN:ZDB-GENE-070117-869	NCBI_gene:4909	0.09	0.08	0.342105263158	0.328846153846	0.09	0.08	0.417569659443	0.397756410256
ZFIN:ZDB-GENE-070117-869	NCBI_gene:3753	0.09	0.08	0.229885057471	0.21875	0.145	0.145	0.416383442266	0.393137254902
ZFIN:ZDB-GENE-070117-512	NCBI_gene:1409	0.09	0.08	0.202898550725	0.192307692308	0.1275	0.125	0.276848267397	0.26378724899
ZFIN:ZDB-GENE-070117-510	NCBI_gene:406960	0.09	0.08	0.205744914788	0.2	0.09	0.08	0.249165333603	0.246710526316
ZFIN:ZDB-GENE-070117-463	NCBI_gene:8425	0.09	0.08	0.239436619718	0.235294117647	0.145	0.145	0.460119370591	0.409523809524
ZFIN:ZDB-GENE-070117-385	NCBI_gene:1409	0.09	0.08	0.259916912356	0.25	0.1175	0.1075	0.288705500198	0.298351648352
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:1409	0.09	0.08	0.295833333333	0.28	0.1275	0.125	0.449493243243	0.420424403183
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:1409	0.09	0.08	0.270833333333	0.272727272727	0.16	0.15	0.296955128205	0.295454545455
ZFIN:ZDB-GENE-140130-13	NCBI_gene:100288687	0.085	0.08	0.25173453997	0.234668335419	0.15	0.15	0.499208074966	0.469047619048
ZFIN:ZDB-GENE-070117-124	NCBI_gene:406960	0.085	0.08	0.246753246753	0.230769230769	0.125	0.12	0.445903361345	0.410557184751
ZFIN:ZDB-GENE-140130-13	NCBI_gene:347344	0.08	0.08	0.202247191011	0.1875	0.115	0.115	0.362063087515	0.337105263158
ZFIN:ZDB-GENE-140130-13	NCBI_gene:23189	0.08	0.08	0.237961225766	0.22	0.1025	0.1	0.300118814649	0.282927350427
ZFIN:ZDB-GENE-140130-12	NCBI_gene:9782	0.08	0.08	0.223415191319	0.222222222222	0.115	0.115	0.28004626952	0.271721132898
ZFIN:ZDB-GENE-140130-12	NCBI_gene:5032	0.08	0.08	0.230769230769	0.206896551724	0.12	0.12	0.458429728167	0.430855683269
ZFIN:ZDB-GENE-140130-12	NCBI_gene:3988	0.08	0.08	0.178256197713	0.178571428571	0.105	0.095	0.240857390214	0.236558109834
ZFIN:ZDB-GENE-140130-12	NCBI_gene:116228	0.08	0.08	0.198684210526	0.192307692308	0.1375	0.1375	0.49152418718	0.465872489579
ZFIN:ZDB-GENE-140130-12	NCBI_gene:1137	0.08	0.08	0.214285714286	0.190524193548	0.08	0.08	0.234759976865	0.214154693487
ZFIN:ZDB-GENE-120229-1	NCBI_gene:4763	0.08	0.08	0.173913043478	0.15625	0.1425	0.1425	0.40989736658	0.378712627852
ZFIN:ZDB-GENE-120229-1	NCBI_gene:2653	0.08	0.08	0.157894736842	0.146341463415	0.155	0.1525	0.221713471713	0.193124857599
ZFIN:ZDB-GENE-070912-300	NCBI_gene:3889	0.08	0.08	0.211267605634	0.214285714286	0.11	0.11	0.348803126527	0.335648148148
ZFIN:ZDB-GENE-070912-300	NCBI_gene:10528	0.08	0.08	0.215827338129	0.2	0.125	0.125	0.363663101604	0.35
ZFIN:ZDB-GENE-070301-5	NCBI_gene:5669	0.08	0.08	0.266666666667	0.225806451613	0.1	0.1	0.32380952381	0.289373814042
ZFIN:ZDB-GENE-070117-920	NCBI_gene:26873	0.08	0.08	0.20892169448	0.280434782609	0.08	0.08	0.220899203404	0.370986622074
ZFIN:ZDB-GENE-070117-730	NCBI_gene:10806	0.08	0.08	0.257142857143	0.24	0.12	0.12	0.485714285714	0.46
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3988	0.08	0.08	0.181818181818	0.179487179487	0.11	0.095	0.237250554324	0.227674624226
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3887	0.08	0.08	0.247058823529	0.24	0.155	0.155	0.480672268908	0.46
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3119	0.08	0.08	0.252747252747	0.24	0.12	0.12	0.483516483516	0.46
ZFIN:ZDB-GENE-070117-64	NCBI_gene:57096	0.08	0.08	0.272727272727	0.263157894737	0.14	0.115	0.516410829627	0.495993589744
ZFIN:ZDB-GENE-070117-628	NCBI_gene:406960	0.08	0.08	0.197674418605	0.1875	0.08	0.08	0.248837209302	0.225328947368
ZFIN:ZDB-GENE-070117-519	NCBI_gene:768206	0.08	0.08	0.215189873418	0.2	0.145	0.145	0.599880382775	0.516666666667
ZFIN:ZDB-GENE-070117-519	NCBI_gene:1409	0.08	0.08	0.220588235294	0.2	0.15	0.15	0.610233918129	0.540860215054
ZFIN:ZDB-GENE-070117-519	NCBI_gene:10002	0.08	0.08	0.214285714286	0.2	0.145	0.145	0.599880382775	0.516666666667
ZFIN:ZDB-GENE-070117-510	NCBI_gene:84839	0.08	0.08	0.209302325581	0.2	0.11	0.105	0.24168345024	0.243421052632
ZFIN:ZDB-GENE-070117-510	NCBI_gene:583	0.08	0.08	0.211764705882	0.206896551724	0.145	0.135	0.448656606551	0.388617886179
ZFIN:ZDB-GENE-070117-508	NCBI_gene:768206	0.08	0.08	0.215189873418	0.2	0.12	0.115	0.435624184428	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:4763	0.08	0.08	0.225352112676	0.217391304348	0.145	0.125	0.395015906681	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:3889	0.08	0.08	0.230769230769	0.222222222222	0.11	0.11	0.444821731749	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:26873	0.08	0.08	0.212858094604	0.25	0.08	0.08	0.276877761414	0.314948844259
ZFIN:ZDB-GENE-070117-480	NCBI_gene:57704	0.08	0.08	0.3375	0.316985645933	0.1	0.1	0.648047251688	0.606092436975
ZFIN:ZDB-GENE-070117-463	NCBI_gene:3889	0.08	0.08	0.238095238095	0.222222222222	0.11	0.11	0.452153110048	0.391666666667
ZFIN:ZDB-GENE-070117-34	NCBI_gene:1409	0.08	0.08	0.215576592083	0.2	0.095	0.095	0.36358503535	0.327690700104
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:10002	0.08	0.08	0.28	0.272727272727	0.1175	0.1125	0.463825757576	0.43799734748
ZFIN:ZDB-GENE-070117-2250	NCBI_gene:23189	0.08	0.08	0.352941176471	0.333333333333	0.08	0.08	0.613810741688	0.564102564103
ZFIN:ZDB-GENE-070117-2230	NCBI_gene:583	0.08	0.08	0.223529411765	0.21875	0.1175	0.1125	0.429545454545	0.389912280702
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:10167	0.08	0.08	0.260869565217	0.3	0.08	0.08	0.321428571429	0.427272727273
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:406960	0.08	0.08	0.186666666667	0.25	0.15	0.15	0.215284552846	0.28125
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:3035	0.08	0.08	0.171428571429	0.222222222222	0.15	0.15	0.207665505226	0.267361111111
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:768206	0.08	0.08	0.233009708738	0.227272727273	0.165	0.165	0.413379854369	0.409090909091
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:10847	0.08	0.08	0.234722222222	0.238095238095	0.155	0.15	0.286375195618	0.292124542125
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:100151683	0.08	0.08	0.237623762376	0.235294117647	0.22	0.22	0.423896626951	0.417647058824
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:768206	0.08	0.08	0.233009708738	0.227272727273	0.165	0.165	0.413379854369	0.409090909091
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:6899	0.08	0.08	0.233171521036	0.235294117647	0.155	0.15	0.421670506281	0.417647058824
