Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:3510245	ZFIN:ZDB-GENE-070117-1799	0.3	0.3	0.488636363636	0.441176470588	0.3	0.3	0.494318181818	0.447860962567
MGI:105954	ZFIN:ZDB-GENE-070117-1471	0.23	0.23	0.22641509434	0.230769230769	0.23	0.23	0.22641509434	0.230769230769
MGI:3042422	ZFIN:ZDB-GENE-070117-2459	0.22	0.19	0.112781954887	0.14	0.24	0.19	0.174285714286	0.189238486092
MGI:3042422	ZFIN:ZDB-GENE-070117-1443	0.22	0.19	0.111111111111	0.155555555556	0.22	0.19	0.114610673666	0.157323232323
MGI:2671382	ZFIN:ZDB-GENE-070117-1240	0.21	0.21	0.5	0.45	0.21	0.21	0.5	0.45
MGI:104857	ZFIN:ZDB-GENE-070209-32	0.2	0.2	0.322070049394	0.294197031039	0.2	0.2	0.430265793928	0.414955658377
MGI:3512807	ZFIN:ZDB-GENE-070117-1678	0.19	0.19	0.226710526316	0.195200155461	0.19	0.19	0.24182748538	0.209669043248
MGI:3042898	ZFIN:ZDB-GENE-070117-1479	0.19	0.19	0.65083303793	0.583120204604	0.19	0.19	0.712513293158	0.639386189258
MGI:2671310	ZFIN:ZDB-GENE-070117-711	0.19	0.19	0.235294117647	0.296296296296	0.19	0.19	0.403361344538	0.433862433862
MGI:2670667	ZFIN:ZDB-GENE-070117-1059	0.19	0.19	0.192307692308	0.291666666667	0.205	0.19	0.387820512821	0.4375
MGI:3586307	ZFIN:ZDB-GENE-030131-8022	0.18	0.18	0.622641509434	0.584928229665	0.245	0.245	0.713759779107	0.68532125769
MGI:2671383	ZFIN:ZDB-GENE-070209-32	0.17	0.17	0.792452830189	0.75	0.17	0.17	0.792452830189	0.75
MGI:1330232	ZFIN:ZDB-GENE-070209-32	0.17	0.17	0.477272727273	0.454545454545	0.17	0.17	0.477272727273	0.454545454545
