Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:1341292	ZFIN:ZDB-GENE-060503-794	0.46	0.46	0.854054054054	0.806451612903	0.46	0.46	0.894482648329	0.866188769415
MGI:96990	ZFIN:ZDB-GENE-050706-86	0.32	0.32	0.794871794872	0.785714285714	0.32	0.32	0.849315068493	0.846153846154
MGI:99262	ZFIN:ZDB-GENE-051113-276	0.3	0.3	0.492957746479	0.4	0.32	0.32	0.886111111111	0.847647058824
MGI:1316745	ZFIN:ZDB-GENE-030131-6115	0.295	0.295	0.258341759353	0.274358974359	0.5	0.5	0.575812107789	0.517391304348
MGI:97848	ZFIN:ZDB-GENE-990415-234	0.22	0.22	0.394919786096	0.342661448141	0.315	0.315	0.853363347458	0.836549639619
MGI:96892	ZFIN:ZDB-GENE-040912-7	0.21	0.21	0.341935483871	0.30303030303	0.3	0.3	0.656042368801	0.632996632997
MGI:891976	ZFIN:ZDB-GENE-070803-3	0.21	0.21	0.311475409836	0.4	0.36	0.36	0.637880562061	0.675
MGI:105059	ZFIN:ZDB-GENE-030131-7098	0.21	0.21	0.346405228758	0.306451612903	0.3	0.3	0.658277241245	0.634707287933
MGI:96629	ZFIN:ZDB-GENE-980526-481	0.2	0.2	0.47191011236	0.405405405405	0.24	0.24	0.779971112181	0.736296296296
MGI:2676627	ZFIN:ZDB-GENE-011221-1	0.2	0.2	0.248762376238	0.236842105263	0.33	0.33	0.593538824429	0.599637681159
MGI:2653629	ZFIN:ZDB-GENE-041116-2	0.2	0.2	0.567567567568	0.518518518519	0.22	0.22	0.714285714286	0.703533026114
MGI:2447763	ZFIN:ZDB-GENE-030828-4	0.2	0.2	0.252929292929	0.236842105263	0.34	0.34	0.766147925033	0.716577540107
MGI:1914280	ZFIN:ZDB-GENE-040426-1045	0.2	0.2	0.25	0.230769230769	0.325	0.325	0.695391705069	0.6872909699
MGI:1197013	ZFIN:ZDB-GENE-090313-21	0.2	0.2	0.368852459016	0.319574468085	0.25	0.25	0.62897139727	0.603241634492
MGI:97350	ZFIN:ZDB-GENE-980526-321	0.19	0.19	0.375419463087	0.355555555556	0.285	0.285	0.796658371845	0.789215686275
MGI:97275	ZFIN:ZDB-GENE-980526-561	0.19	0.19	0.360185185185	0.333333333333	0.2075	0.2075	0.710526315789	0.680786267996
MGI:88461	ZFIN:ZDB-GENE-070501-8	0.19	0.19	0.4	0.384615384615	0.26	0.26	0.7	0.692307692308
MGI:1330824	ZFIN:ZDB-GENE-041010-119	0.19	0.19	0.32183908046	0.285714285714	0.2125	0.2125	0.671798780488	0.682663690476
MGI:102889	ZFIN:ZDB-GENE-011023-1	0.19	0.19	0.272727272727	0.318181818182	0.38	0.38	0.597233201581	0.623376623377
MGI:102844	ZFIN:ZDB-GENE-070112-2362	0.19	0.19	0.446131354026	0.408200734394	0.19	0.19	0.743833943834	0.712473572939
