Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:1353466	NCBI_gene:9313	0.34	0.34	0.565033783784	0.55	0.42	0.42	0.786885245902	0.777777777778
MGI:1333772	NCBI_gene:10117	0.34	0.34	0.573770491803	0.555555555556	0.34	0.34	0.867064934779	0.858708708709
MGI:1918882	NCBI_gene:55800	0.33	0.33	1.0	1.0	0.33	0.33	1.0	1.0
MGI:2181182	NCBI_gene:9631	0.32	0.32	0.716233766234	0.714285714286	0.3275	0.3275	0.905096255274	0.882423371648
MGI:95402	NCBI_gene:2038	0.29	0.29	0.622222222222	0.564102564103	0.29	0.29	1.0	1.0
MGI:96687	NCBI_gene:3859	0.28	0.28	0.658823529412	0.666666666667	0.315	0.315	0.711764705882	0.716666666667
MGI:1913363	NCBI_gene:116519	0.28	0.28	0.68115942029	0.645161290323	0.3	0.3	0.794520547945	0.772727272727
MGI:1353569	NCBI_gene:2301	0.28	0.28	0.658227848101	0.625	0.325	0.325	0.95652173913	0.946428571429
MGI:101770	NCBI_gene:631	0.28	0.28	0.875855327468	0.889328063241	0.3	0.3	0.936461388074	0.943675889328
MGI:1861746	NCBI_gene:64327	0.27	0.27	0.449541284404	0.475	0.33	0.33	0.825925925926	0.851063829787
MGI:108474	NCBI_gene:8323	0.25	0.25	0.4	0.416666666667	0.25	0.25	0.407142857143	0.5
MGI:88005	NCBI_gene:265	0.24	0.24	0.432432432432	0.404761904762	0.29	0.29	0.757034499633	0.736111111111
MGI:1932535	NCBI_gene:84662	0.24	0.24	0.202702702703	0.176470588235	0.25	0.25	0.903373819163	0.879464285714
MGI:95688	NCBI_gene:8200	0.23	0.23	0.331950207469	0.356164383562	0.36	0.36	0.965189873418	0.916666666667
MGI:2444662	NCBI_gene:283417	0.225	0.225	0.3	0.28	0.35	0.35	0.86675257732	0.845693779904
MGI:96699	NCBI_gene:3849	0.22	0.22	0.285714285714	0.338632750397	0.22	0.22	0.674061648673	0.705513784461
MGI:88522	NCBI_gene:1419	0.22	0.22	0.827468230694	0.821146245059	0.27	0.27	0.927419354839	0.920454545455
MGI:1351617	NCBI_gene:21	0.22	0.22	0.253521126761	0.25	0.235	0.235	0.790625	0.775
MGI:1298216	NCBI_gene:1427	0.22	0.22	0.827468230694	0.821146245059	0.27	0.27	0.927419354839	0.920454545455
MGI:96782	NCBI_gene:3972	0.2	0.2	0.333333333333	0.304347826087	0.23	0.23	0.706156716418	0.670833333333
MGI:95790	NCBI_gene:2798	0.2	0.2	0.288413929691	0.258064516129	0.245	0.245	0.766858478691	0.753205128205
MGI:94891	NCBI_gene:50846	0.2	0.2	0.243243243243	0.225806451613	0.2375	0.2375	0.51962594697	0.505681818182
MGI:88055	NCBI_gene:345	0.2	0.2	0.485340062485	0.44	0.2425	0.2425	0.716234905504	0.704545454545
MGI:2181067	NCBI_gene:317719	0.2	0.2	0.318181818182	0.28	0.23	0.23	0.546428571429	0.541176470588
MGI:2179947	NCBI_gene:117144	0.2	0.2	0.252631578947	0.222222222222	0.28	0.28	0.838403614458	0.817741935484
MGI:2152345	NCBI_gene:6875	0.2	0.2	0.3	0.269230769231	0.245	0.245	0.65	0.619230769231
MGI:2149946	NCBI_gene:57120	0.2	0.2	0.156856187291	0.131432973806	0.2	0.2	0.47388498455	0.446052631579
MGI:1918339	NCBI_gene:124404	0.2	0.2	0.233362143475	0.205882352941	0.28	0.28	0.642307692308	0.624509803922
MGI:1354733	NCBI_gene:1761	0.2	0.2	0.318181818182	0.269230769231	0.2575	0.2575	0.552941176471	0.522619047619
MGI:1349421	NCBI_gene:344018	0.2	0.2	0.271084337349	0.227272727273	0.3	0.3	0.75	0.75
MGI:1321119	NCBI_gene:6795	0.2	0.2	0.170212765957	0.142857142857	0.225	0.225	0.41968557758	0.378205128205
MGI:109542	NCBI_gene:50511	0.2	0.2	0.272989355411	0.225806451613	0.245	0.245	0.675	0.636538461538
MGI:108011	NCBI_gene:135935	0.2	0.2	0.253012048193	0.212121212121	0.295	0.295	0.740662650602	0.726515151515
MGI:103073	NCBI_gene:22917	0.2	0.2	0.201923076923	0.179487179487	0.2	0.2	0.605373502467	0.587877583466
MGI:97576	NCBI_gene:5255	0.19	0.19	0.333333333333	0.263157894737	0.225	0.225	0.387005649718	0.353801169591
MGI:2661061	NCBI_gene:147409	0.19	0.19	0.338028169014	0.333333333333	0.265	0.265	0.799518386462	0.821691176471
MGI:1913063	NCBI_gene:51778	0.19	0.19	0.414634146341	0.394541778976	0.255	0.255	0.724664224664	0.700221403311
MGI:2153463	NCBI_gene:122042	0.185	0.185	0.289156626506	0.285714285714	0.2175	0.2175	0.633959311424	0.571153846154
MGI:108427	NCBI_gene:3640	0.185	0.185	0.29542830755	0.285714285714	0.2175	0.2175	0.632002240717	0.606570512821
MGI:2661445	NCBI_gene:29119	0.17	0.17	0.3915	0.385613207547	0.2875	0.2875	0.756352087114	0.762931034483
MGI:2140260	NCBI_gene:255738	0.17	0.17	0.125	0.145833333333	0.28	0.28	0.939759036145	0.934210526316
MGI:107191	NCBI_gene:658	0.17	0.14	0.2125	0.235294117647	0.35	0.35	0.880124223602	0.814935064935
MGI:99953	NCBI_gene:2703	0.16	0.16	0.756756756757	0.739130434783	0.3	0.3	0.895348837209	0.9
MGI:99438	NCBI_gene:611	0.16	0.16	0.287128712871	0.362068965517	0.1825	0.1825	0.647762570375	0.610622136484
MGI:97895	NCBI_gene:5967	0.16	0.16	0.457142857143	0.615384615385	0.26	0.26	0.728571428571	0.807692307692
MGI:97394	NCBI_gene:4942	0.16	0.16	0.245098039216	0.259259259259	0.205	0.205	0.51868872549	0.560182173064
MGI:96692	NCBI_gene:3875	0.16	0.16	0.19512195122	0.347826086957	0.195	0.195	0.59756097561	0.673913043478
