Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:3720902	NCBI_gene:65266	0.2	0.2	0.243287671233	0.264705882353	0.2	0.2	0.356583594653	0.342879256966
MGI:3618616	NCBI_gene:65266	0.2	0.2	0.195675292449	0.209302325581	0.23	0.23	0.304908353295	0.289433771486
MGI:2653466	NCBI_gene:65266	0.2	0.2	0.219544846051	0.236842105263	0.23	0.23	0.340109501677	0.325738125802
MGI:2149373	NCBI_gene:65266	0.2	0.2	0.243287671233	0.264705882353	0.2	0.2	0.356583594653	0.342879256966
MGI:103980	NCBI_gene:1646	0.2	0.2	0.390625	0.327380952381	0.24	0.24	0.684090909091	0.670833333333
MGI:5463577	NCBI_gene:137814	0.19	0.19	0.31	0.321764705882	0.2825	0.2825	0.745237349715	0.658590982287
MGI:3521999	NCBI_gene:286887	0.19	0.19	0.272727272727	0.315789473684	0.19	0.19	0.399758454106	0.391666666667
MGI:2680429	NCBI_gene:3891	0.19	0.19	0.451357466063	0.431677018634	0.2675	0.2675	0.626552795031	0.653571428571
MGI:2680429	NCBI_gene:286887	0.19	0.19	0.311926605505	0.311111111111	0.2125	0.2125	0.575882352941	0.602272727273
MGI:3720902	NCBI_gene:56246	0.185	0.185	0.185576923077	0.206896551724	0.2575	0.2575	0.592788461538	0.603448275862
MGI:3800224	NCBI_gene:65266	0.17	0.17	0.193548387097	0.209302325581	0.23	0.23	0.316843130096	0.303203661327
MGI:96399	NCBI_gene:646960	0.16	0.16	0.641025641026	0.586206896552	0.25	0.25	0.818985619899	0.790019762846
MGI:96399	NCBI_gene:5959	0.16	0.16	0.620689655172	0.548387096774	0.16	0.16	0.770314414047	0.725073313783
MGI:96399	NCBI_gene:406960	0.16	0.16	0.633012820513	0.564516129032	0.22	0.22	0.794792071512	0.755928853755
MGI:3808781	NCBI_gene:646960	0.16	0.16	0.556739130435	0.551339285714	0.175	0.175	0.565603607771	0.563548430736
MGI:3808781	NCBI_gene:4536	0.16	0.16	0.454545454545	0.414634146341	0.205	0.205	0.542490118577	0.535442073171
MGI:3808781	NCBI_gene:406960	0.16	0.16	0.54347826087	0.53125	0.175	0.175	0.558973172988	0.553503787879
MGI:3714795	NCBI_gene:646960	0.16	0.16	0.683544303797	0.678571428571	0.16	0.16	0.727486437613	0.719285714286
MGI:3714795	NCBI_gene:4575	0.16	0.16	0.581395348837	0.515151515152	0.225	0.225	0.717168262654	0.695075757576
MGI:3714795	NCBI_gene:3035	0.16	0.16	0.481481481481	0.418604651163	0.225	0.225	0.667211328976	0.646802325581
MGI:3576010	NCBI_gene:137814	0.16	0.16	0.305521091811	0.30303030303	0.2075	0.1975	0.436434972934	0.468434343434
MGI:2671461	NCBI_gene:5959	0.16	0.16	0.260504201681	0.239130434783	0.185	0.185	0.302521008403	0.29347826087
MGI:1934610	NCBI_gene:440435	0.16	0.16	0.526315789474	0.459459459459	0.1825	0.1825	0.754803415762	0.705357142857
MGI:1934610	NCBI_gene:406960	0.16	0.16	0.651162790698	0.645161290323	0.19	0.19	0.816433566434	0.798136645963
MGI:1934610	NCBI_gene:2652	0.16	0.16	0.649350649351	0.607142857143	0.19	0.19	0.799465240642	0.755494505495
MGI:1934610	NCBI_gene:1409	0.16	0.16	0.651162790698	0.607142857143	0.22	0.22	0.855394605395	0.842779503106
MGI:1926039	NCBI_gene:282551	0.16	0.16	0.117647058824	0.18	0.16	0.16	0.140456182473	0.194651162791
MGI:1926039	NCBI_gene:2702	0.16	0.16	0.142857142857	0.145833333333	0.16	0.16	0.146294881589	0.149187853107
MGI:5510764	NCBI_gene:9842	0.15	0.15	0.191816816817	0.333333333333	0.24	0.24	0.289296407186	0.386519607843
MGI:5499184	NCBI_gene:9842	0.15	0.15	0.350961538462	0.454545454545	0.23	0.23	0.456439393939	0.624458874459
MGI:5491159	NCBI_gene:55997	0.15	0.13	0.274725274725	0.285714285714	0.245	0.245	0.825581395349	0.840909090909
MGI:3811763	NCBI_gene:9842	0.15	0.15	0.3125	0.294117647059	0.15	0.15	0.336922268908	0.318111455108
MGI:3811763	NCBI_gene:23594	0.15	0.15	0.235668171448	0.240740740741	0.185	0.185	0.617834085724	0.62037037037
MGI:3697206	NCBI_gene:9842	0.15	0.15	0.432098765432	0.461538461538	0.195	0.195	0.516049382716	0.503496503497
MGI:3530515	NCBI_gene:22943	0.15	0.15	0.316455696203	0.346153846154	0.15	0.15	0.355596269154	0.40034965035
MGI:3811859	NCBI_gene:6247	0.14	0.14	0.340206185567	0.301515151515	0.1675	0.1675	0.45515786836	0.445430107527
MGI:3811859	NCBI_gene:3850	0.14	0.14	0.326086956522	0.277777777778	0.14	0.14	0.379390038249	0.33725731672
MGI:3811859	NCBI_gene:2652	0.14	0.14	0.358695652174	0.314285714286	0.185	0.185	0.508180263007	0.491675528772
MGI:3603221	NCBI_gene:55997	0.14	0.11	0.211764705882	0.25	0.15	0.13	0.351680672269	0.332661290323
MGI:3525119	NCBI_gene:1066	0.14	0.14	0.166666666667	0.134615384615	0.185	0.185	0.277777777778	0.240384615385
MGI:2149698	NCBI_gene:29123	0.14	0.14	0.269230769231	0.282392026578	0.175	0.175	0.634615384615	0.641196013289
MGI:1933750	NCBI_gene:6247	0.14	0.14	0.284987694832	0.261904761905	0.14	0.14	0.458860759494	0.428261689291
MGI:1933750	NCBI_gene:2652	0.14	0.14	0.305084745763	0.272727272727	0.185	0.185	0.490107519338	0.498106060606
MGI:5463577	NCBI_gene:3753	0.13	0.13	0.143426294821	0.165811965812	0.1875	0.1875	0.392171717172	0.403353658537
MGI:5430047	NCBI_gene:112752	0.13	0.08	0.176470588235	0.228571428571	0.235	0.23	0.640625	0.649122807018
MGI:3808781	NCBI_gene:94	0.13	0.12	0.193996415771	0.19131097561	0.19	0.185	0.41221559919	0.437760750963
MGI:3808781	NCBI_gene:57096	0.13	0.08	0.197183098592	0.189832689833	0.21	0.185	0.495330679731	0.501166344916
MGI:2149699	NCBI_gene:6023	0.13	0.13	0.254237288136	0.25	0.17	0.17	0.627118644068	0.625
MGI:5445348	NCBI_gene:6247	0.12	0.11	0.219178082192	0.235294117647	0.1375	0.1375	0.27564219746	0.312596232596
MGI:5445348	NCBI_gene:4536	0.12	0.08	0.212903225806	0.21568627451	0.13	0.125	0.270085031681	0.296161987522
MGI:5445348	NCBI_gene:440435	0.12	0.08	0.189903846154	0.190981432361	0.13	0.125	0.245370996274	0.250870118846
MGI:5445348	NCBI_gene:1409	0.12	0.11	0.214814814815	0.225	0.165	0.165	0.272969881815	0.30222007722
MGI:5311859	NCBI_gene:7381	0.12	0.12	0.181818181818	0.181818181818	0.135	0.135	0.185026737968	0.193473193473
MGI:3799279	NCBI_gene:3035	0.12	0.11	0.27731092437	0.268292682927	0.155	0.15	0.418655462185	0.414146341463
MGI:3603221	NCBI_gene:646960	0.12	0.11	0.266666666667	0.25	0.13	0.1225	0.300740740741	0.285311671088
MGI:3603221	NCBI_gene:5959	0.12	0.11	0.258064516129	0.25	0.12	0.11	0.304578313253	0.287179487179
MGI:3603221	NCBI_gene:2652	0.12	0.11	0.258064516129	0.228571428571	0.125	0.12	0.289032258065	0.268131868132
MGI:3511448	NCBI_gene:6247	0.12	0.11	0.304576376005	0.272635135135	0.1575	0.1575	0.409223646724	0.376680107527
MGI:3511448	NCBI_gene:4536	0.12	0.11	0.30612244898	0.272727272727	0.1525	0.15	0.401116557734	0.365715195246
MGI:3511448	NCBI_gene:406960	0.12	0.11	0.30612244898	0.277777777778	0.1525	0.15	0.399851132257	0.366197313058
MGI:2448630	NCBI_gene:6247	0.12	0.11	0.214765100671	0.210227272727	0.13	0.125	0.287858942683	0.267238217495
MGI:2448630	NCBI_gene:4575	0.12	0.11	0.211920529801	0.19298245614	0.155	0.15	0.26663388811	0.239785805627
MGI:2448630	NCBI_gene:3035	0.12	0.11	0.218493661447	0.193548387097	0.155	0.15	0.345920138889	0.302291666667
MGI:2448630	NCBI_gene:1409	0.12	0.11	0.21472392638	0.190476190476	0.14	0.125	0.28826754386	0.266970618034
MGI:5445348	NCBI_gene:57096	0.115	0.08	0.2	0.212121212121	0.19	0.165	0.401920935489	0.495390471659
MGI:5499184	NCBI_gene:85301	0.11	0.08	0.217391304348	0.269323671498	0.185	0.185	0.659090909091	0.623466810967
MGI:5499184	NCBI_gene:152816	0.11	0.08	0.169811320755	0.190476190476	0.125	0.11	0.223392461197	0.244720496894
MGI:5491159	NCBI_gene:94	0.11	0.08	0.208712121212	0.21875	0.2225	0.2	0.42380952381	0.4075
MGI:5430047	NCBI_gene:85301	0.11	0.08	0.160889455857	0.245	0.2075	0.2075	0.400595238095	0.534511784512
MGI:5430047	NCBI_gene:6197	0.11	0.08	0.162162162162	0.222222222222	0.23	0.225	0.633333333333	0.642080745342
