Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
ZFIN:ZDB-GENE-140130-12	NCBI_gene:4909	0.16	0.16	0.657894736842	0.62962962963	0.16	0.16	0.700187969925	0.667407407407
ZFIN:ZDB-GENE-070117-64	NCBI_gene:3035	0.14	0.14	0.3	0.272727272727	0.155	0.155	0.567805383023	0.53612012987
ZFIN:ZDB-GENE-070117-463	NCBI_gene:85301	0.14	0.14	0.241025641026	0.243853630646	0.1575	0.15	0.483944235589	0.433333333333
ZFIN:ZDB-GENE-070117-1673	NCBI_gene:717	0.14	0.14	0.182608695652	0.145833333333	0.145	0.145	0.198447204969	0.160416666667
ZFIN:ZDB-GENE-070117-508	NCBI_gene:8425	0.13	0.13	0.247311827957	0.25	0.145	0.145	0.452153110048	0.409523809524
ZFIN:ZDB-GENE-070117-920	NCBI_gene:583	0.11	0.02	0.178571428571	0.230769230769	0.235	0.12	0.241629464286	0.346153846154
ZFIN:ZDB-GENE-070117-671	NCBI_gene:284058	0.11	0.08	0.247058823529	0.24	0.17	0.155	0.573529411765	0.56
ZFIN:ZDB-GENE-070117-671	NCBI_gene:100151683	0.11	0.08	0.213114754098	0.216216216216	0.17	0.155	0.556557377049	0.548108108108
ZFIN:ZDB-GENE-070117-463	NCBI_gene:407975	0.11	0.08	0.208695652174	0.227272727273	0.18	0.1525	0.452153110048	0.395698924731
ZFIN:ZDB-GENE-140130-13	NCBI_gene:347344	0.08	0.08	0.202247191011	0.1875	0.115	0.115	0.362063087515	0.337105263158
ZFIN:ZDB-GENE-140130-13	NCBI_gene:23189	0.08	0.08	0.237961225766	0.22	0.1	0.1	0.300118814649	0.282927350427
ZFIN:ZDB-GENE-140130-13	NCBI_gene:100288687	0.08	0.08	0.25173453997	0.234668335419	0.15	0.15	0.499208074966	0.469047619048
ZFIN:ZDB-GENE-140130-12	NCBI_gene:9782	0.08	0.08	0.218390804598	0.222222222222	0.115	0.115	0.28004626952	0.271721132898
ZFIN:ZDB-GENE-140130-12	NCBI_gene:5032	0.08	0.08	0.230769230769	0.206896551724	0.12	0.12	0.458429728167	0.430855683269
ZFIN:ZDB-GENE-140130-12	NCBI_gene:3988	0.08	0.08	0.180722891566	0.178571428571	0.1	0.095	0.233522593862	0.236558109834
ZFIN:ZDB-GENE-140130-12	NCBI_gene:116228	0.08	0.08	0.202272727273	0.192307692308	0.1375	0.1375	0.49152418718	0.465872489579
ZFIN:ZDB-GENE-140130-12	NCBI_gene:1137	0.08	0.08	0.214285714286	0.190524193548	0.08	0.08	0.234759976865	0.214154693487
ZFIN:ZDB-GENE-120229-1	NCBI_gene:4763	0.08	0.08	0.17157275021	0.15625	0.1425	0.1425	0.406984341195	0.378712627852
ZFIN:ZDB-GENE-120229-1	NCBI_gene:2653	0.08	0.08	0.157894736842	0.146341463415	0.155	0.1525	0.221713471713	0.193124857599
ZFIN:ZDB-GENE-070912-300	NCBI_gene:3889	0.08	0.08	0.211267605634	0.214285714286	0.11	0.11	0.345277862132	0.335648148148
ZFIN:ZDB-GENE-070912-300	NCBI_gene:137814	0.08	0.08	0.217087730519	0.220867208672	0.16	0.16	0.302147648374	0.284853018835
ZFIN:ZDB-GENE-070912-300	NCBI_gene:10528	0.08	0.08	0.220588235294	0.2	0.125	0.125	0.367450980392	0.35
ZFIN:ZDB-GENE-070301-5	NCBI_gene:5669	0.08	0.08	0.266666666667	0.225806451613	0.1	0.1	0.32380952381	0.289373814042
ZFIN:ZDB-GENE-070117-920	NCBI_gene:26873	0.08	0.08	0.162162162162	0.280434782609	0.085	0.08	0.184341950646	0.370986622074
ZFIN:ZDB-GENE-070117-910	NCBI_gene:10528	0.08	0.08	0.272727272727	0.260869565217	0.14	0.14	0.536463170982	0.516616573342
ZFIN:ZDB-GENE-070117-869	NCBI_gene:84839	0.08	0.08	0.285714285714	0.266666666667	0.08	0.08	0.394897594665	0.36858974359
ZFIN:ZDB-GENE-070117-869	NCBI_gene:4909	0.08	0.08	0.342105263158	0.328846153846	0.08	0.08	0.417569659443	0.397756410256
ZFIN:ZDB-GENE-070117-869	NCBI_gene:3753	0.08	0.08	0.229885057471	0.21875	0.145	0.145	0.416383442266	0.393137254902
ZFIN:ZDB-GENE-070117-730	NCBI_gene:10806	0.08	0.08	0.257142857143	0.24	0.12	0.12	0.485714285714	0.46
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3988	0.08	0.08	0.184210526316	0.179487179487	0.1	0.095	0.235722284434	0.227674624226
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3887	0.08	0.08	0.247058823529	0.24	0.155	0.155	0.480672268908	0.46
ZFIN:ZDB-GENE-070117-671	NCBI_gene:3119	0.08	0.08	0.228260869565	0.24	0.12	0.12	0.471273291925	0.46
ZFIN:ZDB-GENE-070117-64	NCBI_gene:57096	0.08	0.08	0.272727272727	0.263157894737	0.13	0.115	0.527079462722	0.497292966043
ZFIN:ZDB-GENE-070117-628	NCBI_gene:406960	0.08	0.08	0.197674418605	0.1875	0.08	0.08	0.248837209302	0.225328947368
ZFIN:ZDB-GENE-070117-628	NCBI_gene:3043	0.08	0.02	0.229166666667	0.217391304348	0.115	0.085	0.430372807018	0.375362318841
ZFIN:ZDB-GENE-070117-519	NCBI_gene:768206	0.08	0.08	0.215189873418	0.2	0.145	0.145	0.599880382775	0.516666666667
ZFIN:ZDB-GENE-070117-519	NCBI_gene:1409	0.08	0.08	0.220588235294	0.2	0.15	0.15	0.610233918129	0.540860215054
ZFIN:ZDB-GENE-070117-519	NCBI_gene:10002	0.08	0.08	0.212359818659	0.2	0.145	0.145	0.599880382775	0.516666666667
ZFIN:ZDB-GENE-070117-512	NCBI_gene:1409	0.08	0.08	0.202898550725	0.192307692308	0.1275	0.125	0.276848267397	0.26378724899
ZFIN:ZDB-GENE-070117-510	NCBI_gene:84839	0.08	0.08	0.215189873418	0.2	0.105	0.105	0.254405540593	0.243421052632
ZFIN:ZDB-GENE-070117-510	NCBI_gene:583	0.08	0.08	0.212121212121	0.206896551724	0.14	0.135	0.446224256293	0.388617886179
ZFIN:ZDB-GENE-070117-510	NCBI_gene:406960	0.08	0.08	0.212598425197	0.2	0.08	0.08	0.255396242368	0.246710526316
ZFIN:ZDB-GENE-070117-508	NCBI_gene:768206	0.08	0.08	0.215189873418	0.2	0.115	0.115	0.439642684693	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:4763	0.08	0.08	0.21875	0.217391304348	0.125	0.125	0.406349206349	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:3889	0.08	0.08	0.228571428571	0.222222222222	0.11	0.11	0.444821731749	0.38431372549
ZFIN:ZDB-GENE-070117-502	NCBI_gene:26873	0.08	0.08	0.215703044817	0.25	0.08	0.08	0.285714285714	0.314948844259
ZFIN:ZDB-GENE-070117-480	NCBI_gene:57704	0.08	0.08	0.3375	0.316985645933	0.1	0.1	0.648047251688	0.606092436975
ZFIN:ZDB-GENE-070117-463	NCBI_gene:8425	0.08	0.08	0.239436619718	0.235294117647	0.145	0.145	0.457681365576	0.409523809524
ZFIN:ZDB-GENE-070117-463	NCBI_gene:3889	0.08	0.08	0.230769230769	0.222222222222	0.11	0.11	0.452153110048	0.391666666667
ZFIN:ZDB-GENE-070117-385	NCBI_gene:6899	0.08	0.06	0.226277372263	0.228571428571	0.2225	0.1875	0.542659574468	0.592587245277
ZFIN:ZDB-GENE-070117-385	NCBI_gene:1409	0.08	0.08	0.255758748022	0.25	0.1275	0.1075	0.285195302305	0.298351648352
ZFIN:ZDB-GENE-070117-34	NCBI_gene:1409	0.08	0.08	0.215576592083	0.2	0.095	0.095	0.36358503535	0.327690700104
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:1409	0.08	0.08	0.295833333333	0.28	0.125	0.125	0.449493243243	0.420424403183
ZFIN:ZDB-GENE-070117-2486	NCBI_gene:10002	0.08	0.08	0.28	0.272727272727	0.1125	0.1125	0.460447379197	0.43799734748
ZFIN:ZDB-GENE-070117-2250	NCBI_gene:23189	0.08	0.08	0.352941176471	0.333333333333	0.08	0.08	0.613810741688	0.564102564103
ZFIN:ZDB-GENE-070117-2230	NCBI_gene:583	0.08	0.08	0.223140495868	0.21875	0.1125	0.1125	0.428571428571	0.389912280702
ZFIN:ZDB-GENE-070117-2090	NCBI_gene:10167	0.08	0.08	0.260869565217	0.3	0.08	0.08	0.321428571429	0.427272727273
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:406960	0.08	0.08	0.186666666667	0.25	0.15	0.15	0.215284552846	0.28125
ZFIN:ZDB-GENE-070117-1443	NCBI_gene:3035	0.08	0.08	0.171428571429	0.222222222222	0.15	0.15	0.207665505226	0.267361111111
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:768206	0.08	0.08	0.245901639344	0.227272727273	0.165	0.165	0.397950819672	0.409090909091
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:10847	0.08	0.08	0.238095238095	0.238095238095	0.155	0.15	0.29815209666	0.292124542125
ZFIN:ZDB-GENE-070117-1432	NCBI_gene:100151683	0.08	0.08	0.234375	0.235294117647	0.22	0.22	0.389914772727	0.417647058824
ZFIN:ZDB-GENE-070117-1428	NCBI_gene:768206	0.08	0.08	0.245901639344	0.227272727273	0.165	0.165	0.397950819672	0.409090909091
