Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:99546	ZFIN:ZDB-GENE-090629-1	0.23	0.23	0.3017136436	0.272727272727	0.255	0.255	0.335601349877	0.299645030426
MGI:95915	ZFIN:ZDB-GENE-070117-1262	0.23	0.23	0.424397824398	0.410600255428	0.285	0.285	0.541365578866	0.528829539479
MGI:3524754	ZFIN:ZDB-GENE-070117-245	0.23	0.23	0.331288343558	0.313432835821	0.23	0.23	0.331288343558	0.313432835821
MGI:3043719	ZFIN:ZDB-GENE-070117-91	0.23	0.23	0.326530612245	0.342105263158	0.23	0.23	0.326530612245	0.342105263158
MGI:3043719	ZFIN:ZDB-GENE-070117-245	0.23	0.23	0.326530612245	0.342105263158	0.23	0.23	0.326530612245	0.342105263158
MGI:5436136	ZFIN:ZDB-GENE-090629-1	0.21	0.21	0.591836734694	0.560975609756	0.29	0.29	0.644403215832	0.595302619693
MGI:3808044	ZFIN:ZDB-GENE-090629-1	0.21	0.21	0.425925925926	0.369565217391	0.21	0.21	0.572337962963	0.511705685619
MGI:3808044	ZFIN:ZDB-GENE-070117-1262	0.21	0.21	0.452830188679	0.409090909091	0.21	0.21	0.452830188679	0.409090909091
MGI:5490330	ZFIN:ZDB-GENE-070117-1387	0.205	0.205	0.414237288136	0.422727272727	0.2125	0.2125	0.461355932203	0.484090909091
MGI:98945	ZFIN:ZDB-GENE-070117-997	0.19	0.19	0.338028169014	0.321428571429	0.205	0.205	0.441741357234	0.460714285714
MGI:4818892	ZFIN:ZDB-GENE-070117-997	0.19	0.19	0.32	0.3	0.19	0.19	0.32	0.3
MGI:3800671	ZFIN:ZDB-GENE-070117-1604	0.19	0.19	0.18347826087	0.271994134897	0.19	0.19	0.231739130435	0.29508797654
MGI:3528313	ZFIN:ZDB-GENE-070117-510	0.19	0.19	0.262773722628	0.25	0.2	0.2	0.384765239692	0.384615384615
MGI:2669902	ZFIN:ZDB-GENE-070117-997	0.19	0.19	0.32	0.3	0.19	0.19	0.32	0.3
MGI:2669902	ZFIN:ZDB-GENE-070117-1387	0.19	0.19	0.32	0.3	0.19	0.19	0.32	0.3
MGI:1890950	ZFIN:ZDB-GENE-081022-87	0.19	0.19	0.421256847231	0.386554621849	0.2	0.2	0.424338101035	0.389355742297
MGI:3511213	ZFIN:ZDB-GENE-070112-532	0.17	0.16	0.263157894737	0.25	0.17	0.16	0.263157894737	0.25
MGI:3043719	ZFIN:ZDB-GENE-070117-1912	0.17	0.17	0.418181818182	0.409090909091	0.17	0.17	0.418181818182	0.409090909091
MGI:2664137	ZFIN:ZDB-GENE-070112-532	0.17	0.16	0.263157894737	0.25	0.17	0.16	0.263157894737	0.25
MGI:99546	ZFIN:ZDB-GENE-070117-2236	0.16	0.1	0.184931506849	0.15	0.16	0.1	0.26251808798	0.237007389163
MGI:3524754	ZFIN:ZDB-GENE-010822-2	0.16	0.12	0.218181818182	0.176470588235	0.195	0.175	0.27473508087	0.244951712028
MGI:3043719	ZFIN:ZDB-GENE-030131-5161	0.16	0.16	0.415841584158	0.380952380952	0.195	0.195	0.561766945925	0.53663003663
MGI:2683163	ZFIN:ZDB-GENE-070117-1415	0.16	0.16	0.581963249516	0.546875	0.19	0.19	0.603156565657	0.59209280303
MGI:3525635	ZFIN:ZDB-GENE-070117-1464	0.155	0.145	0.28256302521	0.256272401434	0.1575	0.1525	0.301995798319	0.273297491039
MGI:3708974	ZFIN:ZDB-GENE-070117-1681	0.15	0.15	0.159090909091	0.127272727273	0.15	0.15	0.159090909091	0.127272727273
MGI:3708974	ZFIN:ZDB-GENE-070117-1038	0.15	0.15	0.159090909091	0.127272727273	0.15	0.15	0.159090909091	0.127272727273
MGI:3697192	ZFIN:ZDB-GENE-070117-1038	0.15	0.15	0.275862068966	0.224489795918	0.15	0.15	0.275862068966	0.224489795918
MGI:3528313	ZFIN:ZDB-GENE-140130-18	0.15	0.15	0.252528268833	0.237068965517	0.18	0.18	0.379642512795	0.378149867374
MGI:3528306	ZFIN:ZDB-GENE-070117-1262	0.15	0.15	0.171875	0.148648648649	0.15	0.15	0.171875	0.148648648649
MGI:3046770	ZFIN:ZDB-GENE-070117-1262	0.15	0.15	0.152380952381	0.192307692308	0.15	0.15	0.152380952381	0.192307692308
MGI:3036325	ZFIN:ZDB-GENE-070117-1681	0.15	0.15	0.2	0.169491525424	0.15	0.15	0.2	0.169491525424
MGI:3036325	ZFIN:ZDB-GENE-070117-1262	0.15	0.15	0.2	0.169491525424	0.15	0.15	0.2	0.169491525424
MGI:2682684	ZFIN:ZDB-GENE-070117-661	0.15	0.15	0.575	0.603846153846	0.22	0.22	0.7375	0.751923076923
MGI:88001	ZFIN:ZDB-GENE-070117-510	0.14	0.14	0.22641509434	0.227272727273	0.205	0.205	0.48961038961	0.475490196078
MGI:3696562	ZFIN:ZDB-GENE-140122-29	0.14	0.14	0.202247191011	0.157894736842	0.14	0.14	0.202247191011	0.157894736842
MGI:3590181	ZFIN:ZDB-GENE-070117-91	0.14	0.1	0.297664019736	0.289031620553	0.215	0.195	0.328443660354	0.307781116399
MGI:3040483	ZFIN:ZDB-GENE-070117-1681	0.14	0.14	0.183673469388	0.15	0.14	0.14	0.183673469388	0.15
MGI:2684125	ZFIN:ZDB-GENE-070117-510	0.14	0.14	0.322916666667	0.305555555556	0.15	0.15	0.334791666667	0.319444444444
MGI:2151214	ZFIN:ZDB-GENE-140122-29	0.14	0.14	0.21978021978	0.179487179487	0.14	0.14	0.21978021978	0.179487179487
MGI:2151214	ZFIN:ZDB-GENE-070117-1038	0.14	0.14	0.176470588235	0.142857142857	0.14	0.14	0.176470588235	0.142857142857
MGI:1933828	ZFIN:ZDB-GENE-070117-1262	0.14	0.14	0.171951312576	0.154001074114	0.145	0.145	0.184266254579	0.158633190118
MGI:1890950	ZFIN:ZDB-GENE-040426-2281	0.14	0.14	0.128205128205	0.115384615385	0.14	0.14	0.128205128205	0.115384615385
MGI:1351612	ZFIN:ZDB-GENE-140122-29	0.14	0.14	0.202247191011	0.16548582996	0.235	0.235	0.394938028495	0.344647676885
MGI:1351612	ZFIN:ZDB-GENE-070117-1262	0.14	0.14	0.183673469388	0.15	0.225	0.225	0.375490580848	0.342441860465
MGI:1351612	ZFIN:ZDB-GENE-070117-1038	0.14	0.14	0.183673469388	0.15	0.225	0.225	0.375490580848	0.342441860465
MGI:1351612	ZFIN:ZDB-GENE-040426-2281	0.14	0.14	0.204545454545	0.22	0.14	0.14	0.216093865484	0.23
MGI:105971	ZFIN:ZDB-GENE-070117-1262	0.14	0.14	0.176470588235	0.142857142857	0.14	0.14	0.176470588235	0.142857142857
MGI:3525635	ZFIN:ZDB-GENE-140130-18	0.135	0.12	0.240870032223	0.221428571429	0.1475	0.14	0.274281169958	0.266964285714
MGI:2684125	ZFIN:ZDB-GENE-120123-18	0.135	0.135	0.272052205221	0.304951690821	0.1475	0.1475	0.308248324832	0.319142512077
MGI:5313709	ZFIN:ZDB-GENE-040426-2281	0.13	0.13	0.220994475138	0.222222222222	0.15	0.15	0.252006671531	0.251736111111
MGI:3817255	ZFIN:ZDB-GENE-120123-18	0.13	0.13	0.217902131783	0.265	0.1325	0.1325	0.462155032468	0.501818181818
MGI:3697192	ZFIN:ZDB-GENE-070117-1912	0.13	0.13	0.3	0.24	0.13	0.13	0.3	0.24
MGI:3528306	ZFIN:ZDB-GENE-070117-887	0.13	0.13	0.140845070423	0.148936170213	0.15	0.15	0.177980674746	0.160674981658
MGI:3525635	ZFIN:ZDB-GENE-070117-63	0.13	0.09	0.272802197802	0.353174603175	0.18	0.125	0.280631868132	0.390873015873
MGI:3040311	ZFIN:ZDB-GENE-070117-510	0.13	0.13	0.157894736842	0.131578947368	0.13	0.13	0.182605905006	0.156698564593
MGI:3036325	ZFIN:ZDB-GENE-070112-532	0.13	0.13	0.234375	0.222222222222	0.13	0.13	0.234375	0.222222222222
MGI:1933828	ZFIN:ZDB-GENE-070117-520	0.13	0.13	0.19212962963	0.245	0.175	0.175	0.276124338624	0.298235294118
MGI:1933828	ZFIN:ZDB-GENE-070117-1912	0.13	0.13	0.25325443787	0.224358974359	0.13	0.13	0.326627218935	0.278846153846
MGI:1891316	ZFIN:ZDB-GENE-090629-1	0.13	0.13	0.267326732673	0.214285714286	0.15	0.15	0.281204349943	0.243506493506
MGI:1891316	ZFIN:ZDB-GENE-081210-8	0.13	0.13	0.339622641509	0.315789473684	0.13	0.13	0.353484790142	0.334365325077
