Gene1	Gene2	All Pairs MedianIC With Homology	All Pairs MedianIC Without Homology	 All Pairs MedianSimJ With Homology	 All Pairs MedianSimJ Without Homology 	 Best Pairs MedianIC With Homology	 Best Pairs MedianIC Without Homology	 Best Pairs MedianSimJ With Homology	 Best Pairs MedianSimJ Without Homology
MGI:1353466	NCBI_gene:9313	0.34	0.34	0.587244676228	0.55	0.42	0.42	0.796875	0.777777777778
MGI:1333772	NCBI_gene:10117	0.34	0.34	0.59375	0.555555555556	0.34	0.34	0.873801606178	0.858708708709
MGI:1918882	NCBI_gene:55800	0.33	0.33	1.0	1.0	0.33	0.33	1.0	1.0
MGI:2181182	NCBI_gene:9631	0.32	0.32	0.716233766234	0.714285714286	0.3275	0.3275	0.905096255274	0.882423371648
MGI:95402	NCBI_gene:2038	0.29	0.29	0.622222222222	0.564102564103	0.29	0.29	1.0	1.0
MGI:96687	NCBI_gene:3859	0.28	0.28	0.658823529412	0.666666666667	0.315	0.315	0.711764705882	0.716666666667
MGI:1913363	NCBI_gene:116519	0.28	0.28	0.68115942029	0.645161290323	0.3	0.3	0.794520547945	0.772727272727
MGI:1353569	NCBI_gene:2301	0.28	0.28	0.658227848101	0.625	0.325	0.325	0.95652173913	0.946428571429
MGI:101770	NCBI_gene:631	0.28	0.28	0.875855327468	0.889328063241	0.3	0.3	0.936461388074	0.943675889328
MGI:1861746	NCBI_gene:64327	0.27	0.27	0.533333333333	0.475	0.33	0.33	0.837606837607	0.851063829787
MGI:108474	NCBI_gene:8323	0.25	0.25	0.4	0.416666666667	0.25	0.25	0.401388888889	0.5
MGI:88005	NCBI_gene:265	0.24	0.24	0.461538461538	0.404761904762	0.29	0.29	0.769477739726	0.736111111111
MGI:1932535	NCBI_gene:84662	0.24	0.24	0.202702702703	0.176470588235	0.25	0.25	0.903373819163	0.879464285714
MGI:95688	NCBI_gene:8200	0.23	0.23	0.373831775701	0.356164383562	0.36	0.36	0.942708333333	0.916666666667
MGI:2444662	NCBI_gene:283417	0.225	0.225	0.3	0.28	0.35	0.35	0.86675257732	0.845693779904
MGI:96699	NCBI_gene:3849	0.22	0.22	0.362558160752	0.338632750397	0.22	0.22	0.766111111111	0.705513784461
MGI:88522	NCBI_gene:1419	0.22	0.22	0.827468230694	0.821146245059	0.27	0.27	0.927419354839	0.920454545455
MGI:1351617	NCBI_gene:21	0.22	0.22	0.246575342466	0.25	0.235	0.235	0.792987804878	0.775
MGI:1298216	NCBI_gene:1427	0.22	0.22	0.827468230694	0.821146245059	0.27	0.27	0.927419354839	0.920454545455
MGI:96782	NCBI_gene:3972	0.2	0.2	0.333333333333	0.304347826087	0.23	0.23	0.706156716418	0.670833333333
MGI:95790	NCBI_gene:2798	0.2	0.2	0.288413929691	0.258064516129	0.245	0.245	0.766858478691	0.753205128205
MGI:94891	NCBI_gene:50846	0.2	0.2	0.243243243243	0.225806451613	0.2375	0.2375	0.51962594697	0.505681818182
MGI:88055	NCBI_gene:345	0.2	0.2	0.485340062485	0.44	0.2425	0.2425	0.716234905504	0.704545454545
MGI:2181067	NCBI_gene:317719	0.2	0.2	0.318181818182	0.28	0.23	0.23	0.546428571429	0.541176470588
MGI:2179947	NCBI_gene:117144	0.2	0.2	0.252631578947	0.222222222222	0.28	0.28	0.838403614458	0.817741935484
MGI:2152345	NCBI_gene:6875	0.2	0.2	0.3	0.269230769231	0.245	0.245	0.65	0.619230769231
MGI:2149946	NCBI_gene:57120	0.2	0.2	0.156856187291	0.131432973806	0.2	0.2	0.47388498455	0.446052631579
MGI:1918339	NCBI_gene:124404	0.2	0.2	0.233362143475	0.205882352941	0.28	0.28	0.642307692308	0.624509803922
MGI:1354733	NCBI_gene:1761	0.2	0.2	0.318181818182	0.269230769231	0.2575	0.2575	0.552941176471	0.522619047619
MGI:1349421	NCBI_gene:344018	0.2	0.2	0.271084337349	0.227272727273	0.3	0.3	0.75	0.75
MGI:1321119	NCBI_gene:6795	0.2	0.2	0.170212765957	0.142857142857	0.225	0.225	0.41968557758	0.378205128205
MGI:109542	NCBI_gene:50511	0.2	0.2	0.272989355411	0.225806451613	0.245	0.245	0.675	0.636538461538
MGI:108011	NCBI_gene:135935	0.2	0.2	0.253012048193	0.212121212121	0.295	0.295	0.740662650602	0.726515151515
MGI:103073	NCBI_gene:22917	0.2	0.2	0.205882352941	0.179487179487	0.2	0.2	0.605373502467	0.587877583466
MGI:97576	NCBI_gene:5255	0.19	0.19	0.333333333333	0.263157894737	0.225	0.225	0.387005649718	0.353801169591
MGI:2661061	NCBI_gene:147409	0.19	0.19	0.34693877551	0.333333333333	0.265	0.265	0.826625386997	0.821691176471
MGI:1913063	NCBI_gene:51778	0.19	0.19	0.432432432432	0.394541778976	0.255	0.255	0.724664224664	0.700221403311
MGI:2153463	NCBI_gene:122042	0.185	0.185	0.289156626506	0.285714285714	0.2175	0.2175	0.633959311424	0.571153846154
MGI:108427	NCBI_gene:3640	0.185	0.185	0.29542830755	0.285714285714	0.2175	0.2175	0.632002240717	0.606570512821
MGI:2661445	NCBI_gene:29119	0.17	0.17	0.414118705036	0.385613207547	0.2875	0.2875	0.776280549046	0.762931034483
MGI:2140260	NCBI_gene:255738	0.17	0.17	0.14406779661	0.145833333333	0.28	0.28	0.939759036145	0.934210526316
MGI:99953	NCBI_gene:2703	0.16	0.16	0.756756756757	0.739130434783	0.3	0.3	0.895348837209	0.9
MGI:99438	NCBI_gene:611	0.16	0.16	0.333333333333	0.362068965517	0.1825	0.1825	0.65931372549	0.610622136484
MGI:97895	NCBI_gene:5967	0.16	0.16	0.457142857143	0.615384615385	0.26	0.26	0.728571428571	0.807692307692
MGI:97394	NCBI_gene:4942	0.16	0.16	0.269230769231	0.259259259259	0.205	0.205	0.544476327116	0.560182173064
MGI:96692	NCBI_gene:3875	0.16	0.16	0.25	0.347826086957	0.195	0.195	0.625	0.673913043478
MGI:95779	NCBI_gene:2780	0.16	0.16	0.333333333333	0.362068965517	0.235	0.235	0.603208582466	0.574718237705
MGI:95778	NCBI_gene:2779	0.16	0.16	0.510204081633	0.459459459459	0.16	0.16	0.735294117647	0.68108974359
MGI:88524	NCBI_gene:1421	0.16	0.16	0.756756756757	0.740740740741	0.3	0.3	0.894366197183	0.9
MGI:88523	NCBI_gene:1420	0.16	0.16	0.696629213483	0.653846153846	0.24	0.24	0.894366197183	0.87037037037
MGI:88519	NCBI_gene:1415	0.16	0.16	0.675675675676	0.62962962963	0.3	0.3	0.894366197183	0.886363636364
MGI:88518	NCBI_gene:1411	0.16	0.16	0.759144237405	0.726363636364	0.28	0.28	0.948412698413	0.943181818182
MGI:88464	NCBI_gene:1296	0.16	0.16	0.555555555556	0.560975609756	0.315	0.315	0.9375	0.954545454545
MGI:88401	NCBI_gene:338917	0.16	0.16	0.46672756658	0.435897435897	0.23	0.23	0.78732414308	0.769642857143
MGI:88374	NCBI_gene:1056	0.16	0.16	0.126582278481	0.147058823529	0.185	0.185	0.198291139241	0.202561669829
MGI:3036246	NCBI_gene:164045	0.16	0.16	0.199137931034	0.190476190476	0.195	0.195	0.315059078852	0.27451048951
MGI:2448607	NCBI_gene:60506	0.16	0.16	0.735294117647	0.653846153846	0.2025	0.2025	1.0	1.0
MGI:2442632	NCBI_gene:93589	0.16	0.16	0.602409638554	0.586206896552	0.245	0.245	0.74997149556	0.731932931933
MGI:2385958	NCBI_gene:114902	0.16	0.16	0.399050245098	0.396226415094	0.245	0.245	0.67292398323	0.659827978793
MGI:2384418	NCBI_gene:388531	0.16	0.16	0.533157894737	0.494435612083	0.16	0.16	0.766578947368	0.747217806041
MGI:2384303	NCBI_gene:94137	0.16	0.16	0.285723615465	0.290619520748	0.16	0.16	0.597363392513	0.558474801061
MGI:2148800	NCBI_gene:23746	0.16	0.16	0.284090909091	0.28813559322	0.245	0.245	0.506384021364	0.507239525399
MGI:2140279	NCBI_gene:23424	0.16	0.16	0.435483870968	0.418831168831	0.16	0.16	0.80325140809	0.789544513458
MGI:1931825	NCBI_gene:4166	0.16	0.16	0.735882058971	0.709565217391	0.2875	0.2875	0.884615384615	0.869565217391
MGI:1923032	NCBI_gene:167691	0.16	0.16	0.273195876289	0.264705882353	0.245	0.245	0.480413793103	0.539864864865
MGI:1920910	NCBI_gene:57010	0.16	0.16	0.510204081633	0.459459459459	0.205	0.205	0.723595854004	0.695457559682
MGI:1889818	NCBI_gene:23554	0.16	0.16	0.553527227723	0.53125	0.2475	0.2475	0.76830471319	0.773333333333
MGI:1859639	NCBI_gene:778	0.16	0.16	0.406504065041	0.396226415094	0.225	0.225	0.816378416893	0.817639257294
MGI:1355553	NCBI_gene:220202	0.16	0.16	0.446280991736	0.419302325581	0.225	0.225	0.712887007655	0.699300699301
MGI:1353562	NCBI_gene:54714	0.16	0.16	0.333333333333	0.362068965517	0.245	0.245	0.574636306135	0.548234552333
MGI:1351343	NCBI_gene:2916	0.16	0.16	0.709752321981	0.626923076923	0.16	0.16	0.867647058824	0.826923076923
MGI:1347058	NCBI_gene:3299	0.16	0.16	0.666666666667	0.62962962963	0.24	0.24	0.856384150455	0.845494071146
MGI:1346332	NCBI_gene:7439	0.16	0.16	0.40400886382	0.388888888889	0.1925	0.1925	0.728826682549	0.712087087087
MGI:1345146	NCBI_gene:6011	0.16	0.16	0.280934343434	0.283412058905	0.16	0.16	0.525874906925	0.496923076923
MGI:1341840	NCBI_gene:4990	0.16	0.16	0.522943504252	0.5	0.225	0.225	0.672501478415	0.674568965517
MGI:1341818	NCBI_gene:1261	0.16	0.16	0.274725274725	0.274193548387	0.16	0.16	0.571579677475	0.530340501792
MGI:1333828	NCBI_gene:8419	0.16	0.16	0.782013685239	0.755928853755	0.27	0.27	1.0	1.0
MGI:1330305	NCBI_gene:4308	0.16	0.16	0.679609989737	0.593103448276	0.16	0.16	0.931034482759	0.904761904762
MGI:1202864	NCBI_gene:4653	0.16	0.16	0.770872865275	0.758928571429	0.16	0.16	0.788662239089	0.784226190476
MGI:1202398	NCBI_gene:11081	0.16	0.16	0.630616583983	0.56865530303	0.315	0.315	0.888888888889	0.857142857143
MGI:1097692	NCBI_gene:5956	0.16	0.16	0.698795180723	0.634848484848	0.245	0.245	0.849397590361	0.817424242424
MGI:107193	NCBI_gene:4935	0.16	0.16	0.355263157895	0.338760504202	0.205	0.205	0.631925984996	0.603050595238
MGI:106923	NCBI_gene:7092	0.16	0.16	0.355731225296	0.339622641509	0.26	0.26	0.558599389123	0.504659832246
MGI:105956	NCBI_gene:5146	0.16	0.16	0.353658536585	0.396226415094	0.245	0.245	0.73431372549	0.691787941788
MGI:104336	NCBI_gene:1412	0.16	0.16	0.806451612903	0.772727272727	0.24	0.24	0.903225806452	0.886363636364
MGI:98769	NCBI_gene:3195	0.15	0.15	0.214375	0.193996415771	0.155	0.155	0.449328449328	0.406944444444
MGI:96533	NCBI_gene:3549	0.15	0.15	0.253164556962	0.257142857143	0.295	0.295	0.772222222222	0.741258741259
MGI:95401	NCBI_gene:2035	0.15	0.15	0.368534482759	0.311264822134	0.29	0.29	0.811111111111	0.782051282051
MGI:88336	NCBI_gene:958	0.15	0.15	0.221637426901	0.195732526882	0.32	0.32	1.0	1.0
MGI:2146636	NCBI_gene:3273	0.15	0.15	0.225806451613	0.170731707317	0.15	0.15	0.327272727273	0.268465909091
MGI:1918480	NCBI_gene:54808	0.15	0.15	0.264516129032	0.258620689655	0.305	0.305	0.701339203816	0.692587209302
MGI:1918089	NCBI_gene:64805	0.15	0.15	0.228260869565	0.211538461538	0.29	0.29	0.566123188406	0.553827751196
MGI:1333849	NCBI_gene:10235	0.15	0.15	0.214285714286	0.170731707317	0.29	0.29	0.489702517162	0.448564593301
MGI:1328350	NCBI_gene:4148	0.15	0.15	0.3	0.28125	0.28	0.28	0.709090909091	0.663461538462
MGI:108015	NCBI_gene:579	0.15	0.15	0.299212598425	0.297297297297	0.2675	0.26	0.6216370415	0.583333333333
MGI:102849	NCBI_gene:3818	0.15	0.15	0.417471590909	0.370629370629	0.22	0.22	0.664473684211	0.6
MGI:99613	NCBI_gene:7535	0.14	0.14	0.176470588235	0.166666666667	0.235	0.235	0.746225071225	0.713567362429
MGI:99255	NCBI_gene:356	0.14	0.14	0.209302325581	0.193548387097	0.255	0.255	0.868131868132	0.852564102564
MGI:97846	NCBI_gene:5880	0.14	0.14	0.277777777778	0.238095238095	0.195	0.195	0.740794353189	0.706275303644
MGI:97810	NCBI_gene:5788	0.14	0.14	0.178571428571	0.166666666667	0.21	0.21	0.717310087173	0.683179723502
MGI:97493	NCBI_gene:5083	0.14	0.14	0.238636363636	0.25	0.255	0.255	0.763157894737	0.748148148148
MGI:97249	NCBI_gene:4602	0.14	0.14	0.214985994398	0.190476190476	0.1575	0.1575	0.521084337349	0.461904761905
MGI:96891	NCBI_gene:4066	0.14	0.14	0.157075748679	0.12962962963	0.175	0.175	0.350635106296	0.346568627451
MGI:96621	NCBI_gene:3702	0.14	0.14	0.172185430464	0.154929577465	0.205	0.205	0.664534883721	0.630803571429
MGI:96607	NCBI_gene:3684	0.14	0.14	0.21568627451	0.2	0.14	0.14	0.547552447552	0.505434782609
MGI:96562	NCBI_gene:3575	0.14	0.14	0.16265060241	0.150943396226	0.23	0.23	0.499741712028	0.461111111111
MGI:96538	NCBI_gene:3587	0.14	0.14	0.170697358197	0.15	0.195	0.195	0.388558558559	0.384615384615
MGI:95559	NCBI_gene:2322	0.14	0.14	0.201694915254	0.175735294118	0.1775	0.1775	0.719251336898	0.659722222222
MGI:88346	NCBI_gene:925	0.14	0.14	0.191489361702	0.166666666667	0.24	0.24	0.793313069909	0.77986453202
MGI:88337	NCBI_gene:959	0.14	0.1	0.198473282443	0.181818181818	0.23	0.23	0.75671180803	0.703007518797
MGI:88332	NCBI_gene:916	0.14	0.14	0.141509433962	0.121951219512	0.2	0.2	0.494823820319	0.430600071225
MGI:88326	NCBI_gene:939	0.14	0.14	0.225	0.202564102564	0.205	0.205	0.56435528757	0.515151515152
MGI:87931	NCBI_gene:1675	0.14	0.14	0.333333333333	0.25	0.14	0.14	0.833333333333	0.8125
MGI:2182474	NCBI_gene:51135	0.14	0.14	0.219512195122	0.1875	0.14	0.14	0.480598410472	0.422727272727
MGI:2138987	NCBI_gene:83959	0.14	0.14	0.263736263736	0.237212276215	0.2425	0.2425	0.656762915799	0.616742315655
MGI:1929004	NCBI_gene:6789	0.14	0.14	0.2	0.170212765957	0.2	0.2	0.58640776699	0.550505050505
MGI:1917700	NCBI_gene:201294	0.14	0.14	0.214285714286	0.189189189189	0.21	0.21	0.737231182796	0.725
MGI:1916978	NCBI_gene:84433	0.14	0.14	0.154639175258	0.140350877193	0.245	0.245	0.874577702703	0.837044534413
MGI:1891344	NCBI_gene:10216	0.14	0.14	0.259615384615	0.252906976744	0.27	0.27	0.515535106555	0.499303698752
MGI:1861722	NCBI_gene:220	0.14	0.14	0.253991370011	0.257142857143	0.155	0.155	0.621338893434	0.638996706346
MGI:1859307	NCBI_gene:81622	0.14	0.14	0.197826086957	0.164661654135	0.14	0.14	0.607203630176	0.593841642229
MGI:1858421	NCBI_gene:5993	0.14	0.14	0.133630952381	0.125	0.235	0.235	0.540543680601	0.51718426501
MGI:1342279	NCBI_gene:57379	0.14	0.14	0.138147907178	0.123076923077	0.23	0.23	0.704651162791	0.720117845118
MGI:1328352	NCBI_gene:4068	0.14	0.14	0.165354330709	0.149253731343	0.215	0.215	0.745707823584	0.733684210526
MGI:1101355	NCBI_gene:4054	0.14	0.14	0.24	0.239935587762	0.225	0.205	0.82390469738	0.787988814936
