MGI:2387618	ZFIN:ZDB-GENE-070410-44
MGI:1289282	ZFIN:ZDB-GENE-050927-1
MGI:1919715	ZFIN:ZDB-GENE-040426-1563
MGI:1891916	ZFIN:ZDB-GENE-060302-2
MGI:104897	ZFIN:ZDB-GENE-080415-1
MGI:1338039	ZFIN:ZDB-GENE-070820-19
MGI:1929286	ZFIN:ZDB-GENE-030131-9770
MGI:108440	ZFIN:ZDB-GENE-030131-7487
MGI:1339753	ZFIN:ZDB-GENE-061215-106
MGI:1277223	ZFIN:ZDB-GENE-060526-217
MGI:2446242	ZFIN:ZDB-GENE-030131-3246
MGI:1328366	ZFIN:ZDB-GENE-991008-16
MGI:2442401	ZFIN:ZDB-GENE-060503-660
MGI:1924785	ZFIN:ZDB-GENE-090313-376
MGI:2444560	ZFIN:ZDB-GENE-110411-60
MGI:1923928	ZFIN:ZDB-GENE-080716-1
MGI:99923	ZFIN:ZDB-GENE-070202-9
MGI:103270	ZFIN:ZDB-GENE-090807-3
MGI:1333760	ZFIN:ZDB-GENE-041210-21
MGI:104554	ZFIN:ZDB-GENE-010919-1
MGI:98511	ZFIN:ZDB-GENE-010919-3
MGI:1888677	ZFIN:ZDB-GENE-091204-310
MGI:2138584	ZFIN:ZDB-GENE-050706-185
MGI:1913128	ZFIN:ZDB-GENE-040822-2
MGI:1343104	ZFIN:ZDB-GENE-040625-3
MGI:1341847	ZFIN:ZDB-GENE-030131-4827
MGI:1919265	ZFIN:ZDB-GENE-090306-3
MGI:2151208	ZFIN:ZDB-GENE-030327-7
MGI:1334433	ZFIN:ZDB-GENE-061013-96
MGI:1203729	ZFIN:ZDB-GENE-030328-39
MGI:2685045	ZFIN:ZDB-GENE-050309-145
MGI:1353576	ZFIN:ZDB-GENE-040426-2532
MGI:1922019	ZFIN:ZDB-GENE-030131-1904
MGI:1098211	ZFIN:ZDB-GENE-040426-1128
MGI:2448506	ZFIN:ZDB-GENE-100204-2
MGI:2445019	ZFIN:ZDB-GENE-050410-13
MGI:3818630	ZFIN:ZDB-GENE-041210-173
MGI:98250	ZFIN:ZDB-GENE-051201-1
MGI:103169	ZFIN:ZDB-GENE-000828-1
MGI:98248	ZFIN:ZDB-GENE-060906-1
MGI:2444306	ZFIN:ZDB-GENE-050410-12
MGI:2178051	ZFIN:ZDB-GENE-060503-324
MGI:1201678	ZFIN:ZDB-GENE-090514-2
MGI:1928842	ZFIN:ZDB-GENE-090312-128
MGI:2385297	ZFIN:ZDB-GENE-061103-202
MGI:2182472	ZFIN:ZDB-GENE-060526-199
MGI:106217	ZFIN:ZDB-GENE-081104-526
MGI:88296	ZFIN:ZDB-GENE-060531-44
MGI:109482	ZFIN:ZDB-GENE-040724-26
MGI:88294	ZFIN:ZDB-GENE-090514-1
