ZFIN:ZDB-GENE-070410-44	NCBI_gene:11162
ZFIN:ZDB-GENE-050927-1	NCBI_gene:90441
ZFIN:ZDB-GENE-040426-1563	NCBI_gene:100506639
ZFIN:ZDB-GENE-060302-2	NCBI_gene:5324
ZFIN:ZDB-GENE-080415-1	NCBI_gene:5978
ZFIN:ZDB-GENE-070820-19	NCBI_gene:58495
ZFIN:ZDB-GENE-030131-9770	NCBI_gene:51421
ZFIN:ZDB-GENE-030131-7487	NCBI_gene:154796
ZFIN:ZDB-GENE-061215-106	NCBI_gene:1435
ZFIN:ZDB-GENE-060526-217	NCBI_gene:6311
ZFIN:ZDB-GENE-030131-3246	NCBI_gene:11273
ZFIN:ZDB-GENE-991008-16	NCBI_gene:6598
ZFIN:ZDB-GENE-060503-660	NCBI_gene:55607
ZFIN:ZDB-GENE-090313-376	NCBI_gene:285513
ZFIN:ZDB-GENE-110411-60	NCBI_gene:9721
ZFIN:ZDB-GENE-080716-1	NCBI_gene:91147
ZFIN:ZDB-GENE-070202-9	NCBI_gene:3778
ZFIN:ZDB-GENE-090807-3	NCBI_gene:7942
ZFIN:ZDB-GENE-041210-21	NCBI_gene:22797
ZFIN:ZDB-GENE-010919-1	NCBI_gene:4286
ZFIN:ZDB-GENE-010919-3	NCBI_gene:7030
ZFIN:ZDB-GENE-091204-310	NCBI_gene:64599
ZFIN:ZDB-GENE-050706-185	NCBI_gene:26058
ZFIN:ZDB-GENE-040822-2	NCBI_gene:51272
ZFIN:ZDB-GENE-040625-3	NCBI_gene:10282
ZFIN:ZDB-GENE-030131-4827	NCBI_gene:64399
ZFIN:ZDB-GENE-090306-3	NCBI_gene:84439
ZFIN:ZDB-GENE-030327-7	NCBI_gene:57190
ZFIN:ZDB-GENE-061013-96	NCBI_gene:5298
ZFIN:ZDB-GENE-030328-39	NCBI_gene:5286
ZFIN:ZDB-GENE-050309-145	NCBI_gene:5287
ZFIN:ZDB-GENE-040426-2532	NCBI_gene:5294
ZFIN:ZDB-GENE-030131-1904	NCBI_gene:5291
ZFIN:ZDB-GENE-040426-1128	NCBI_gene:5293
ZFIN:ZDB-GENE-100204-2	NCBI_gene:5297
ZFIN:ZDB-GENE-050410-13	NCBI_gene:5289
ZFIN:ZDB-GENE-041210-173	NCBI_gene:9997
ZFIN:ZDB-GENE-051201-1	NCBI_gene:6329
ZFIN:ZDB-GENE-000828-1	NCBI_gene:6334
ZFIN:ZDB-GENE-060906-1	NCBI_gene:6326
