Mouse gene 	Human gene
MGI:2176230	NCBI_gene:55911
MGI:2387618	NCBI_gene:11162
MGI:1289282	NCBI_gene:90441
MGI:2686052	NCBI_gene:118738
MGI:2140750	NCBI_gene:85460
MGI:2139317	NCBI_gene:146050
MGI:2444060	NCBI_gene:342357
MGI:2679270	NCBI_gene:84838
MGI:1343132	NCBI_gene:51282
MGI:1933401	NCBI_gene:7753
MGI:1289293	NCBI_gene:7566
MGI:1890378	NCBI_gene:10782
MGI:2442185	NCBI_gene:55663
MGI:1923365	NCBI_gene:55311
MGI:2686600	NCBI_gene:7727
MGI:2159640	NCBI_gene:
MGI:3643810	NCBI_gene:65982
MGI:1919715	NCBI_gene:100506639
MGI:1933165	NCBI_gene:5326
MGI:2445100	NCBI_gene:54989
MGI:1100874	NCBI_gene:5325
MGI:1891916	NCBI_gene:5324
MGI:104897	NCBI_gene:5978
MGI:1330290	NCBI_gene:5017
MGI:2442788	NCBI_gene:121274
MGI:1338039	NCBI_gene:58495
MGI:1929286	NCBI_gene:51421
MGI:1922973	NCBI_gene:154810
MGI:108440	NCBI_gene:154796
MGI:1339753	NCBI_gene:1435
MGI:1277223	NCBI_gene:6311
MGI:2446242	NCBI_gene:11273
MGI:1328366	NCBI_gene:6598
MGI:2442401	NCBI_gene:55607
MGI:2384945	NCBI_gene:201191
MGI:1924785	NCBI_gene:285513
MGI:2444560	NCBI_gene:9721
MGI:1923928	NCBI_gene:91147
MGI:3036273	NCBI_gene:343450
MGI:1924627	NCBI_gene:57582
MGI:1202300	NCBI_gene:157855
MGI:99923	NCBI_gene:3778
MGI:103270	NCBI_gene:7942
MGI:1333760	NCBI_gene:22797
MGI:104554	NCBI_gene:4286
MGI:98511	NCBI_gene:7030
MGI:1888677	NCBI_gene:64599
MGI:2138584	NCBI_gene:26058
MGI:1913128	NCBI_gene:51272
MGI:1343104	NCBI_gene:10282
MGI:1341847	NCBI_gene:64399
MGI:1926022	NCBI_gene:79802
MGI:1919265	NCBI_gene:84439
MGI:1919250	NCBI_gene:256329
MGI:1921013	NCBI_gene:399949
MGI:2151208	NCBI_gene:57190
MGI:1334433	NCBI_gene:5298
MGI:1203729	NCBI_gene:5286
MGI:1203730	NCBI_gene:5288
MGI:2685045	NCBI_gene:5287
MGI:1353576	NCBI_gene:5294
MGI:1206581	NCBI_gene:5290
MGI:1922019	NCBI_gene:5291
MGI:1098211	NCBI_gene:5293
MGI:2448506	NCBI_gene:5297
MGI:2445019	NCBI_gene:5289
MGI:3818630	NCBI_gene:9997
MGI:106362	NCBI_gene:6341
MGI:98250	NCBI_gene:6329
MGI:103169	NCBI_gene:6334
MGI:108029	NCBI_gene:6336
MGI:1345149	NCBI_gene:11280
MGI:98251	NCBI_gene:6331
MGI:98249	NCBI_gene:6328
MGI:98246	NCBI_gene:6323
MGI:102965	NCBI_gene:6332
MGI:107636	NCBI_gene:6335
MGI:98248	NCBI_gene:6326
MGI:1924106	NCBI_gene:347732
MGI:3043288	NCBI_gene:378807
MGI:2387404	NCBI_gene:101930343
MGI:2444306	NCBI_gene:259232
MGI:2179947	NCBI_gene:117144
MGI:2178051	NCBI_gene:8911
MGI:1201678	NCBI_gene:8913
MGI:1928842	NCBI_gene:8912
MGI:2385297	NCBI_gene:219931
MGI:2182472	NCBI_gene:53373
MGI:2142980	NCBI_gene:123591
MGI:106217	NCBI_gene:777
MGI:88296	NCBI_gene:774
MGI:109482	NCBI_gene:100507353
MGI:88294	NCBI_gene:779
MGI:88293	NCBI_gene:776
MGI:1859639	NCBI_gene:778
MGI:103013	NCBI_gene:775
MGI:107516	NCBI_gene:2627
MGI:1927616	NCBI_gene:7227
MGI:95661	NCBI_gene:2623
MGI:95664	NCBI_gene:2626
MGI:95663	NCBI_gene:2625
MGI:95662	NCBI_gene:2624
MGI:3696042	NCBI_gene:100125288
